header_seq,header_stamp,header_frame_id,t,is_single_rotor_thrust,collective_thrust,bodyrates_x,bodyrates_y,bodyrates_z,thrusts_0,thrusts_1,thrusts_2,thrusts_3
37473,374.741999999,,374.7419999988453,False,21.183057333974435,-11.189030607887101,3.6844735466637375,1.9099287099787894,nan,nan,nan,nan
37474,374.750999999,,374.75099999884526,False,21.561732587283885,-10.756283364629633,3.7865206657945327,1.8287601153588608,nan,nan,nan,nan
37475,374.762999999,,374.7629999988452,False,21.978526473628698,-10.149699303363528,3.880243009064857,1.7272481317532642,nan,nan,nan,nan
37476,374.771999999,,374.77199999884516,False,22.21893532140932,-9.672813302948944,3.9173667305094035,1.6564891293075117,nan,nan,nan,nan
37477,374.780999999,,374.7809999988451,False,22.39255798576415,-9.177312495832137,3.9254720709611717,1.5905531027951412,nan,nan,nan,nan
37478,374.792999999,,374.79299999884506,False,22.5145220076779,-8.487003565172264,3.8912315184272614,1.510441322183207,nan,nan,nan,nan
37479,374.801999999,,374.801999998845,False,22.519966678320912,-7.947150753860602,3.832741643485607,1.4562687320524572,nan,nan,nan,nan
37480,374.810999999,,374.810999998845,False,22.450127288275336,-7.391088370354088,3.7475240689937994,1.4068690710278697,nan,nan,nan,nan
37481,374.822999999,,374.8229999988449,False,22.240737822776108,-6.635111710936329,3.595538120405822,1.3473499947422727,nan,nan,nan,nan
37482,374.831999999,,374.8319999988449,False,21.99902270620636,-6.06952766322,3.455811025341338,1.306357529946248,nan,nan,nan,nan
37483,374.840999999,,374.84099999884484,False,21.688905397735056,-5.517824527897161,3.2968660504579925,1.2674418553476847,nan,nan,nan,nan
37484,374.852999999,,374.8529999988448,False,21.178437568089155,-4.821259253027759,3.0592209760364026,1.2173769471184166,nan,nan,nan,nan
37485,374.861999999,,374.86199999884474,False,20.732185378210612,-4.33894854452809,2.864663326903275,1.180340824770755,nan,nan,nan,nan
37486,374.870999999,,374.8709999988447,False,20.240456349500175,-3.8982177006132877,2.6586645443613173,1.1431941613090806,nan,nan,nan,nan
37487,374.882999999,,374.88299999884464,False,19.528013920736182,-3.37956347518391,2.369463728480815,1.093015804830943,nan,nan,nan,nan
37488,374.891999999,,374.8919999988446,False,18.96259181194017,-3.0418241537982076,2.143715514063361,1.0547128404269,nan,nan,nan,nan
37489,374.900999999,,374.90099999884455,False,18.377982029464338,-2.745981978337444,1.912298916848364,1.0157885724830795,nan,nan,nan,nan
