header_seq,header_stamp,header_frame_id,pose_position_x,pose_position_y,pose_position_z,pose_orientation_x,pose_orientation_y,pose_orientation_z,pose_orientation_w
120029,1756792692.2540064,world,-0.10064540803432465,-0.26625341176986694,1.179563283920288,-0.0006557703018188477,0.0035530724562704563,0.0007397285662591457,0.9999932050704956
120030,1756792692.2566946,world,-0.10066455602645874,-0.2662697732448578,1.1795240640640259,-0.0007038116455078125,0.0035606459714472294,0.0007387674413621426,0.999993085861206
120031,1756792692.2595458,world,-0.1006447821855545,-0.26623964309692383,1.1795427799224854,-0.0006103813648223877,0.003564168931916356,0.0007006239611655474,0.9999932050704956
120032,1756792692.2623596,world,-0.10066589713096619,-0.26625967025756836,1.1795132160186768,-0.0006529688835144043,0.003570147790014744,0.0007463968358933926,0.9999931454658508
120033,1756792692.265581,world,-0.10065673291683197,-0.26625195145606995,1.1794946193695068,-0.0005286633968353271,0.003612038679420948,0.0006796427769586444,0.999993085861206
120034,1756792692.267828,world,-0.10066410899162292,-0.2662453055381775,1.1795004606246948,-0.0005117654800415039,0.0036054416559636593,0.0007883589714765549,0.999993085861206
120035,1756792692.270735,world,-0.1006687805056572,-0.2662469744682312,1.179465651512146,-0.00043764710426330566,0.003637343645095825,0.0007091996958479285,0.999993085861206
120036,1756792692.273336,world,-0.10065800696611404,-0.2662367820739746,1.1794853210449219,-0.00041216611862182617,0.0036412025801837444,0.0007292326772585511,0.9999930262565613
120037,1756792692.2761567,world,-0.10067019611597061,-0.26623672246932983,1.179449439048767,-0.00036829710006713867,0.0036765206605196,0.0006929925875738263,0.9999929070472717
120038,1756792692.2790596,world,-0.10065213590860367,-0.26622873544692993,1.179457664489746,-0.00028768181800842285,0.0036849044263362885,0.0006853576051071286,0.9999929666519165
120039,1756792692.2819018,world,-0.10066661238670349,-0.2662290930747986,1.17942476272583,-0.00024405121803283691,0.003695752937346697,0.0007301807636395097,0.999992847442627
