header_seq,header_stamp,header_frame_id,t,pose_position_x,pose_position_y,pose_position_z,pose_orientation_x,pose_orientation_y,pose_orientation_z,pose_orientation_w,velocity_linear_x,velocity_linear_y,velocity_linear_z,velocity_angular_x,velocity_angular_y,velocity_angular_z,acceleration_linear_x,acceleration_linear_y,acceleration_linear_z,acceleration_angular_x,acceleration_angular_y,acceleration_angular_z,acc_bias_x,acc_bias_y,acc_bias_z,gyr_bias_x,gyr_bias_y,gyr_bias_z,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z,motors_len,motors
2828,1756792692.380045,world,1756792692.380045,-0.10073432279602733,-0.266097060151776,1.1789752618285416,0.000636384459707417,0.004021338652223446,0.000620279098077758,0.9999915195160929,-0.001019403162939665,0.00015551076055212207,-0.004812757765229979,-0.005290542159930219,0.002338924746760289,0.0014275750256120615,-0.003919631900042468,-0.00529186855274399,-0.0017044587873446372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0.0,0.0,0.0,0.0"
2829,1756792692.390021,world,1756792692.390021,-0.10072842026941965,-0.2660751004700016,1.1789389702146487,0.0005315777673404554,0.004070374070979996,0.0006346289733423639,0.9999913733258231,-0.00047971121932171207,0.0008856719434553797,-0.004414400526086021,-0.013560482967876777,0.006218842308027753,0.0024743806170292883,0.00046584769932747866,0.0007419656046108123,0.0014332045270468564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0.0,0.0,0.0,0.0"
2830,1756792692.4000318,world,1756792692.4000318,-0.10072389650081078,-0.26607946377516384,1.1789045471011452,0.0004112970462965069,0.0040364253156754465,0.0007040017817158277,0.9999915212075061,-0.00013178850977061635,0.00038226075494497415,-0.004032225468495376,-0.02061788759464286,-0.00023547027368195117,0.009246971374035398,0.0030932785322983344,-0.0032099751118635474,0.0042685028725949455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0.0,0.0,0.0,0.0"
2831,1756792692.4100199,world,1756792692.4100199,-0.10071801215657365,-0.2660613190001479,1.178875119808454,0.0004288804406565627,0.0040413346031608795,0.0007535345733474901,0.9999914578944362,0.00012673330528624723,0.0008159047433609684,-0.0036623684314607435,-0.007328511678711564,-0.001128789276977766,0.010193753501417817,0.004769573793711861,0.00021571364896258742,0.00664122400156173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0.0,0.0,0.0,0.0"
2832,1756792692.4200242,world,1756792692.4200242,-0.10071466666055635,-0.2660478481812617,1.1788500559260617,0.0003932166214992465,0.0039827328605450815,0.0006985547216725212,0.9999917475864244,0.00022125589037494392,0.0010486612593074277,-0.003110673164205749,-0.007966096799458193,-0.006268742243821182,-0.0014772830450123793,0.005084751063648817,0.0020503694809438774,0.010496587324945336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0.0,0.0,0.0,0.0"
2833,1756792692.4299817,world,1756792692.4299817,-0.10071080882851743,-0.2660489742687144,1.1788141169269282,0.00031162771021953794,0.0038517121431327532,0.0007336546006079637,0.9999922644464125,0.0003220834729866683,0.0006746562186483041,-0.003207256563907284,-0.012775445089195895,-0.01722948814063291,0.0050958652205716805,0.0054661920329576,-0.000893814683899972,0.008961004802680233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0.0,0.0,0.0,0.0"
2834,1756792692.4400125,world,1756792692.4400125,-0.1007058033620506,-0.2660389971764945,1.1787967589004813,0.00016156963086892248,0.0037949243553380427,0.0007557894321767863,0.9999925005852424,0.0004907306578865368,0.0008877346603228383,-0.002504898289421215,-0.022454186890834636,-0.014062841299737174,0.00916490543585502,0.006455649198028193,0.0010134820980644658,0.013815314993749325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0.0,0.0,0.0,0.0"
2835,1756792692.4500086,world,1756792692.4500086,-0.10069530133285802,-0.26604581553437134,1.178765055571427,6.549626997727967e-05,0.0036678833036068877,0.0007386888281829797,0.9999929983160507,0.0007698556536469362,0.0003890161739900177,-0.0025843511842282567,-0.020620886133413348,-0.020193015062332006,0.004183655911829725,0.00813852118775232,-0.0027347302344106093,0.012259275374823481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0.0,0.0,0.0,0.0"
2836,1756792692.4600189,world,1756792692.4600189,-0.10069582963460799,-0.26604708762694107,1.17874422028642,1.6964277147599655e-05,0.003662776636169998,0.0006745797215376692,0.9999930643368113,0.0005237655042554807,0.00013465681108959515,-0.0023200540253130036,-0.013305376764316458,-0.011333105808794907,-0.002417127427779403,0.005614123466541719,-0.004555026036576147,0.013299602770607353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0.0,0.0,0.0,0.0"
2837,1756792692.4700115,world,1756792692.4700115,-0.10069151043670489,-0.26604490471051756,1.1787159979400574,2.1469647347110572e-05,0.003585824614821588,0.0007049318573863393,0.9999933222136848,0.000552252702495091,0.00019431008431702583,-0.0022984927835169545,-0.005424432325601639,-0.013104874081951332,0.0029764377576508216,0.00543597769771889,-0.0036164856500447546,0.01264842940485613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0.0,0.0,0.0,0.0"
