header_seq,header_stamp,header_frame_id,t,pose_position_x,pose_position_y,pose_position_z,pose_orientation_x,pose_orientation_y,pose_orientation_z,pose_orientation_w,velocity_linear_x,velocity_linear_y,velocity_linear_z,velocity_angular_x,velocity_angular_y,velocity_angular_z,acceleration_linear_x,acceleration_linear_y,acceleration_linear_z,acceleration_angular_x,acceleration_angular_y,acceleration_angular_z,acc_bias_x,acc_bias_y,acc_bias_z,gyr_bias_x,gyr_bias_y,gyr_bias_z,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z,motors_len,motors
61406,614.094,world,614.093999999655,-5.254745733099388,0.5089864106869997,1.1444785530726374,1.0864002675585002e-13,2.0521108146282144e-14,-0.7458749558124451,0.6660859931658849,4.2185050989219095e-11,9.386590769697899e-11,-9.980990077192151e-14,1.583698608287527e-13,8.664954728456269e-14,-7.652394258188912e-10,-1.3203877428761211e-12,-1.719155079695574e-12,2.960594732331058e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970773685144,1215.0970773685287,1215.0970773692668,1215.0970773692593"
61407,614.106,world,614.1059999996552,-5.254745733098887,0.5089864106881254,1.1444785530726374,1.092621056325184e-13,1.9986879291403662e-14,-0.7458749558155028,0.6660859931624609,4.216909366029489e-11,9.384525828522223e-11,-9.975483370990008e-14,1.1817432139269694e-13,-3.351990834143589e-14,-7.650966213329994e-10,-1.336717144467873e-12,-1.7200030897370022e-12,5.329070518200953e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.097077368696,1215.0970773685385,1215.097077369127,1215.097077369208"
61408,614.115,world,614.1149999996553,-5.2547457330985115,0.5089864106889698,1.1444785530726374,1.0951787231938333e-13,1.9495967283574988e-14,-0.745874955817796,0.6660859931598929,4.215701369354112e-11,9.382980019361359e-11,-9.971397750259387e-14,1.2505617225678726e-13,-1.2689040832348873e-14,-7.649660265086336e-10,-1.346834494073295e-12,-1.7160813123665873e-12,3.2566542055616396e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970773685897,1215.0970773685353,1215.097077369208,1215.0970773692359"
61409,614.124,world,614.1239999996554,-5.254745733098136,0.5089864106898141,1.1444785530726374,1.1004116293385461e-13,1.9124404006858938e-14,-0.7458749558200887,0.6660859931573258,4.2144833861911756e-11,9.381435799902542e-11,-9.969828635051252e-14,1.5553034845816903e-13,8.559351696213516e-14,-7.648188161096378e-10,-1.359145510578422e-12,-1.7170311258782972e-12,1.480297366165529e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970773685149,1215.0970773685276,1215.0970773692686,1215.0970773692575"
61410,614.136,world,614.1359999996556,-5.254745733097635,0.5089864106909399,1.1444785530726374,1.1063075632085465e-13,1.862307396058046e-14,-0.745874955823145,0.6660859931539033,4.2128415427700215e-11,9.379373406305585e-11,-9.967726612791295e-14,1.0116354365507443e-13,-3.3801368365499463e-14,-7.646759083631417e-10,-1.3746352888742023e-12,-1.717924420206703e-12,5.921189464611629e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970773687045,1215.0970773685292,1215.0970773691354,1215.0970773691997"
61411,614.145,world,614.1449999996557,-5.254745733097259,0.5089864106917842,1.1444785530726374,1.1078729887773844e-13,1.8234114040740465e-14,-0.7458749558254368,0.6660859931513368,4.211600524607238e-11,9.377829379116418e-11,-9.966660798687656e-14,7.522278396948892e-14,-1.5774502425809843e-14,-7.64545273879071e-10,-1.3821265972879389e-12,-1.7141931084618575e-12,-1.1842378929349476e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.097077368609,1215.0970773685156,1215.0970773692234,1215.0970773692202"
61412,614.154,world,614.1539999996559,-5.254745733096883,0.5089864106926285,1.1444785530726374,1.1106619145350338e-13,1.8096022648440114e-14,-0.7458749558277282,0.666085993148771,4.210353617088002e-11,9.376286746454559e-11,-9.96686804031892e-14,5.247240936338554e-14,7.626538480878615e-14,-7.643980887152431e-10,-1.3880715431806724e-12,-1.7153663807318444e-12,-8.881784197043661e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970773685433,1215.097077368499,1215.0970773692904,1215.0970773692352"
61413,614.166,world,614.165999999656,-5.2547457330963825,0.5089864106937533,1.1444785530726374,1.1100334684001769e-13,1.8191843051691233e-14,-0.745874955830783,0.6660859931453503,4.208687007359404e-11,9.374226197195597e-11,-9.967667400896649e-14,-9.074344988138407e-14,-5.4176689762227565e-14,-7.642552191372196e-10,-1.3866531911763107e-12,-1.7164766847436554e-12,-2.9605947323058146e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.097077368736,1215.0970773684974,1215.09707736916,1215.0970773691747"
61414,614.175,world,614.1749999996562,-5.254745733096007,0.5089864106945966,1.1444785530726374,1.1040186299849315e-13,1.84877756976847e-14,-0.7458749558330735,0.6660859931427854,4.2074445846898204e-11,9.372683414395617e-11,-9.968792426894935e-14,-1.8333356571310955e-13,-4.371126202197421e-14,-7.64124599205261e-10,-1.3744378014675092e-12,-1.7128618976990557e-12,-1.7763568393961105e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970773686377,1215.0970773684867,1215.0970773692463,1215.097077369197"
61415,614.184,world,614.1839999996563,-5.254745733095631,0.5089864106954399,1.1444785530726374,1.097125119016177e-13,1.922437745466033e-14,-0.7458749558353637,0.6660859931402209,4.206216868127915e-11,9.37114191265303e-11,-9.969088486368168e-14,-2.634720282846599e-13,4.2587872176788055e-14,-7.639774161115764e-10,-1.3550762380125973e-12,-1.7141782916537586e-12,1.7763568393961105e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.097077368566,1215.0970773684764,1215.0970773693095,1215.0970773692163"
61416,614.196,world,614.1959999996565,-5.25474573309513,0.5089864106965644,1.1444785530726374,1.0811041886964782e-13,2.071953756662286e-14,-0.7458749558384167,0.6660859931368022,4.204615571765433e-11,9.369082580112267e-11,-9.970509571839685e-14,-4.589768100754234e-13,-9.209343419919272e-14,-7.638345042194329e-10,-1.313120602663746e-12,-1.715642355326056e-12,-1.7763568393961105e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.097077368748,1215.0970773684853,1215.09707736917,1215.0970773691645"
61417,614.205,world,614.2049999996566,-5.2547457330947545,0.5089864106974077,1.1444785530726374,1.0624478437532138e-13,2.216881636500775e-14,-0.745874955840706,0.6660859931342387,4.203455948343707e-11,9.367540372796748e-11,-9.972404352468377e-14,-5.683893005805594e-13,-8.322396045132535e-14,-7.637039066956258e-10,-1.2674309280776888e-12,-1.7123832024236835e-12,-2.6645352591004767e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.097077368641,1215.0970773684833,1215.0970773692488,1215.0970773691943"
61418,614.214,world,614.2139999996567,-5.254745733094379,0.508986410698251,1.1444785530726374,1.0426699726274479e-13,2.407829539202149e-14,-0.7458749558429949,0.6660859931316755,4.2023416430539846e-11,9.365999128907139e-11,-9.974506374728333e-14,-6.452891823447507e-13,2.225715448184512e-15,-7.635568018728791e-10,-1.213886632082332e-12,-1.7140309742117077e-12,-1.7763568393961105e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970773685613,1215.0970773684815,1215.0970773693036,1215.0970773692213"
61419,614.226,world,614.2259999996569,-5.254745733093878,0.5089864106993749,1.1444785530726374,1.010125889813646e-13,2.706032764288628e-14,-0.7458749558460461,0.6660859931282588,4.200938572969774e-11,9.363939819691011e-11,-9.976667608882934e-14,-8.085164243216256e-13,-1.318570913878998e-13,-7.634140370338273e-10,-1.1281811832229132e-12,-1.7156754088946469e-12,-1.480297366165529e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.097077368733,1215.0970773685008,1215.097077369156,1215.0970773691781"
61420,614.235,world,614.234999999657,-5.254745733093502,0.5089864107002172,1.1444785530726374,9.80310700022183e-14,2.9498800152452257e-14,-0.7458749558483342,0.6660859931256967,4.1999604012905524e-11,9.362397617328448e-11,-9.979213720352741e-14,-8.747756646891143e-13,-1.2013700416529392e-13,-7.632835116005447e-10,-1.0530351989071456e-12,-1.7123192185428117e-12,-3.848773152035424e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.097077368619,1215.0970773685056,1215.09707736923,1215.0970773692127"
61421,614.244,world,614.2439999996571,-5.254745733093126,0.5089864107010595,1.1444785530726374,9.510055574925522e-14,3.2243305073733593e-14,-0.7458749558506218,0.6660859931231349,4.199051973649878e-11,9.36085654002748e-11,-9.982677616189573e-14,-8.961630755772228e-13,-2.905017589480086e-14,-7.631364570562351e-10,-9.743728922382267e-13,-1.713739545350413e-12,-5.329070518200953e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970773685337,1215.0970773685087,1215.0970773692818,1215.0970773692427"
61422,614.256,world,614.2559999996573,-5.2547457330926255,0.5089864107021826,1.1444785530726374,9.089104549859822e-14,3.605872667188083e-14,-0.7458749558536714,0.6660859931197203,4.1979537333000514e-11,9.358797780307035e-11,-9.987266538024694e-14,-9.754634239827095e-13,-1.5262384531018848e-13,-7.629937461985083e-10,-8.633941709947426e-13,-1.7150934607088398e-12,-3.552713678804843e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970773687027,1215.0970773685312,1215.0970773691326,1215.0970773692009"
61423,614.265,world,614.2649999996574,-5.25474573309225,0.508986410703025,1.1444785530726374,8.745355454842731e-14,3.889638954021681e-14,-0.7458749558559583,0.6660859931171593,4.1972204189940195e-11,9.357256168523861e-11,-9.990760039808849e-14,-9.748385835326826e-13,-1.3242119746301875e-13,-7.628633017956403e-10,-7.760324666213786e-13,-1.7116156862323916e-12,-4.144832625266006e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970773685883,1215.0970773685365,1215.0970773692059,1215.0970773692366"
61424,614.274,world,614.2739999996576,-5.254745733091874,0.5089864107038673,1.1444785530726374,8.429518509946223e-14,4.183929697671922e-14,-0.7458749558582445,0.6660859931145993,4.1965648611509146e-11,9.355715762398837e-11,-9.993839058330476e-14,-9.295388275784688e-13,-3.3727729534608086e-14,-7.627163064214152e-10,-6.911155617826893e-13,-1.7129613361048698e-12,-3.2566542055616396e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970773685042,1215.0970773685387,1215.097077369258,1215.0970773692666"
61425,614.286,world,614.2859999996577,-5.254745733091373,0.5089864107049904,1.1444785530726374,8.011995430874425e-14,4.561403968416316e-14,-0.7458749558612927,0.666085993111186,4.195807108448855e-11,9.353658019298449e-11,-9.996562805484224e-14,-9.255849570760554e-13,-1.4883005473509042e-13,-7.625736101876284e-10,-5.807582942054458e-13,-1.7141725721780366e-12,-2.0724163126393138e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.097077368676,1215.0970773685578,1215.0970773691108,1215.0970773692227"
61426,614.295,world,614.2949999996579,-5.2547457330909975,0.5089864107058317,1.1444785530726374,7.693919669648137e-14,4.8208094015704396e-14,-0.7458749558635781,0.6660859931086268,4.195325204300836e-11,9.352117331911673e-11,-9.997983890955742e-14,-8.692646741102474e-13,-1.2331882142876729e-13,-7.624432023751639e-10,-5.00059171419443e-13,-1.7104900191760095e-12,-1.480297366165529e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970773685654,1215.0970773685601,1215.097077369187,1215.0970773692554"
61427,614.304,world,614.303999999658,-5.254745733090622,0.508986410706673,1.1444785530726374,7.420955518684778e-14,5.0749115858317476e-14,-0.7458749558658633,0.6660859931060679,4.1949126950818866e-11,9.350578072785163e-11,-9.999760247795144e-14,-7.764329139835782e-13,-1.975064830384064e-14,-7.622963081399406e-10,-4.2642859457452744e-13,-1.711560048500503e-12,-2.3684757858698952e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970773684849,1215.0970773685588,1215.097077369242,1215.0970773692818"
61428,614.316,world,614.3159999996582,-5.254745733090121,0.5089864107077948,1.1444785530726374,7.082550030553703e-14,5.3792393036912564e-14,-0.7458749558689095,0.6660859931026567,4.1944595688598775e-11,9.348522261013977e-11,-1.0004319563682939e-13,-7.239672316295235e-13,-1.2834322479258553e-13,-7.621537271705891e-10,-3.3695913367887967e-13,-1.7124020765656116e-12,-4.144832625266006e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970773686615,1215.0970773685726,1215.0970773691004,1215.0970773692325"
61429,614.325,world,614.3249999996583,-5.254745733089745,0.5089864107086361,1.1444785530726374,6.836741100421206e-14,5.573297112916577e-14,-0.7458749558711938,0.6660859931000989,4.194187770046352e-11,9.346983245163804e-11,-1.0007043310836686e-13,-6.417178763950857e-13,-9.77819543356045e-14,-7.620234318523622e-10,-2.752383054390023e-13,-1.7085906006667274e-12,-1.1842378929349476e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.097077368555,1215.0970773685713,1215.0970773691797,1215.097077369262"
61430,614.334,world,614.3339999996584,-5.254745733089369,0.5089864107094775,1.1444785530726374,6.644023725470076e-14,5.756158799968742e-14,-0.7458749558734777,0.6660859930975414,4.193967237776373e-11,9.34544568162326e-11,-1.0007546611941182e-13,-5.317309615669904e-13,9.634689702139194e-15,-7.618766605264179e-10,-2.2256656011146586e-13,-1.70971306755519e-12,5.921189464611629e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970773684787,1215.0970773685658,1215.0970773692384,1215.0970773692854"
61431,614.346,world,614.3459999996586,-5.2547457330888685,0.5089864107105992,1.1444785530726374,6.419717777814414e-14,5.960823368676267e-14,-0.7458749558765221,0.6660859930941322,4.1937395852255256e-11,9.343391903221088e-11,-1.0006391979995574e-13,-4.698224737891923e-13,-9.605364275800246e-14,-7.617341723318733e-10,-1.6275922851022005e-13,-1.7108721741245424e-12,8.881784197043661e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.097077368661,1215.0970773685742,1215.0970773690997,1215.0970773692334"
61432,614.355,world,614.3549999996587,-5.254745733088493,0.5089864107114401,1.1444785530726374,6.260859405546447e-14,6.079212768899995e-14,-0.7458749558788053,0.6660859930915757,4.1936132558511014e-11,9.341854115436122e-11,-1.0005118924260673e-13,-3.8865241598701076e-13,-6.609211437662947e-14,-7.616039514219601e-10,-1.2364824325446447e-13,-1.7073526142575596e-12,1.7763568393961105e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970773685572,1215.0970773685694,1215.0970773691809,1215.0970773692611"
