header_seq,header_stamp,header_frame_id,t,is_single_rotor_thrust,collective_thrust,bodyrates_x,bodyrates_y,bodyrates_z,thrusts_0,thrusts_1,thrusts_2,thrusts_3
30344,303.452999999,,303.4529999991803,False,8.361814469274888,5.5981859744923994e-05,-7.986248310797028e-05,4.86017714113285e-05,nan,nan,nan,nan
30345,303.461999999,,303.46199999918025,False,8.361814469274888,5.597261875335384e-05,-7.98493002989638e-05,4.859375080714755e-05,nan,nan,nan,nan
30346,303.470999999,,303.4709999991802,False,8.36181446927489,5.596338431429812e-05,-7.983612660105244e-05,4.858573164714449e-05,nan,nan,nan,nan
30347,303.482999999,,303.48299999918015,False,8.361814469274892,5.595107276668786e-05,-7.981856322282279e-05,4.8575041432763695e-05,nan,nan,nan,nan
30348,303.491999999,,303.4919999991801,False,8.361814469274892,5.594183675754248e-05,-7.980538754597318e-05,4.856702519575602e-05,nan,nan,nan,nan
30349,303.500999999,,303.50099999918007,False,8.361814469274892,5.59326072716634e-05,-7.979222092535513e-05,4.8559010405590784e-05,nan,nan,nan,nan
30350,303.512999999,,303.51299999918,False,8.361814469274895,5.5920302296732744e-05,-7.977466692468396e-05,4.8548326018215554e-05,nan,nan,nan,nan
30351,303.521999999,,303.52199999917997,False,8.361814469274895,5.591107120446731e-05,-7.976149825110781e-05,4.854031414871422e-05,nan,nan,nan,nan
30352,303.530999999,,303.5309999991799,False,8.361814469274897,5.590184662333664e-05,-7.974833861252328e-05,4.8532303728719864e-05,nan,nan,nan,nan
30353,303.542999999,,303.54299999917987,False,8.361814469274897,5.588954818330275e-05,-7.973079390599559e-05,4.852162516535253e-05,nan,nan,nan,nan
30354,303.551999999,,303.5519999991798,False,8.361814469274899,5.5880321995332247e-05,-7.971763220085008e-05,4.851361766602209e-05,nan,nan,nan,nan
30355,303.560999999,,303.5609999991798,False,8.361814469274899,5.58711023192849e-05,-7.970447952735342e-05,4.850561161386712e-05,nan,nan,nan,nan
30356,303.572999999,,303.57299999917973,False,8.3618144692749,5.585881042502941e-05,-7.968694411573991e-05,4.849493887650611e-05,nan,nan,nan,nan
30357,303.581999999,,303.5819999991797,False,8.361814469274902,5.584958915299786e-05,-7.967378939298504e-05,4.8486935747013454e-05,nan,nan,nan,nan
30358,303.590999999,,303.59099999917964,False,8.3618144692749,5.5840374394128724e-05,-7.966064370657874e-05,4.847893406769391e-05,nan,nan,nan,nan
30359,303.602999999,,303.6029999991796,False,8.361814469274902,5.5828089062616495e-05,-7.964311762588112e-05,4.846826715633922e-05,nan,nan,nan,nan
30360,303.611999999,,303.61199999917955,False,8.3618144692749,5.581887271881761e-05,-7.96299699146975e-05,4.84602683986828e-05,nan,nan,nan,nan
30361,303.620999999,,303.6209999991795,False,8.361814469274902,5.580966288861797e-05,-7.961683124486228e-05,4.845227108720267e-05,nan,nan,nan,nan
30362,303.632999999,,303.63299999917945,False,8.361814469274904,5.579738413388646e-05,-7.959931453332824e-05,4.8441610005518055e-05,nan,nan,nan,nan
30363,303.641999999,,303.6419999991794,False,8.361814469274904,5.5788172728266764e-05,-7.958617386113025e-05,4.8433615617699445e-05,nan,nan,nan,nan
30364,303.650999999,,303.65099999917936,False,8.361814469274904,5.5778967836706e-05,-7.95730422340762e-05,4.84256226797209e-05,nan,nan,nan,nan
30365,303.662999999,,303.6629999991793,False,8.361814469274904,5.5766695672990156e-05,-7.955553492534711e-05,4.8414967426707185e-05,nan,nan,nan,nan
30366,303.671999999,,303.67199999917926,False,8.361814469274906,5.575748921739234e-05,-7.954240131675083e-05,4.8406977410724815e-05,nan,nan,nan,nan
30367,303.680999999,,303.6809999991792,False,8.361814469274908,5.5748289277581614e-05,-7.952927675693119e-05,4.839898884391636e-05,nan,nan,nan,nan
30368,303.692999999,,303.69299999917916,False,8.361814469274908,5.573602372237393e-05,-7.951177888521989e-05,4.838833941990661e-05,nan,nan,nan,nan
30369,303.701999999,,303.7019999991791,False,8.36181446927491,5.572682223095132e-05,-7.949865236707387e-05,4.838035377742581e-05,nan,nan,nan,nan
30370,303.710999999,,303.7109999991791,False,8.361814469274911,5.5717627258676466e-05,-7.948553490229953e-05,4.83723695824536e-05,nan,nan,nan,nan
30371,303.722999999,,303.722999999179,False,8.361814469274911,5.5705368339975284e-05,-7.946804650383048e-05,4.8361725989779286e-05,nan,nan,nan,nan
30372,303.731999999,,303.731999999179,False,8.361814469274911,5.5696171835636035e-05,-7.945492710462415e-05,4.83537447214662e-05,nan,nan,nan,nan
30373,303.740999999,,303.74099999917894,False,8.361814469274913,5.56869818536716e-05,-7.944181676481275e-05,4.8345764899662474e-05,nan,nan,nan,nan
30374,303.752999999,,303.7529999991789,False,8.361814469274915,5.567472959958016e-05,-7.942433788234959e-05,4.833512713732438e-05,nan,nan,nan,nan
30375,303.761999999,,303.76199999917884,False,8.361814469274913,5.566553810394629e-05,-7.941122563391855e-05,4.832715024251287e-05,nan,nan,nan,nan
30376,303.770999999,,303.7709999991788,False,8.361814469274915,5.565635313469386e-05,-7.939812245031528e-05,4.8319174795876045e-05,nan,nan,nan,nan
30377,303.782999999,,303.78299999917874,False,8.361814469274915,5.564410757500652e-05,-7.938065312439304e-05,4.830854286420724e-05,nan,nan,nan,nan
