33251,332.522999999,world,332.5229999990437,0.14157211923959276,-0.017923463265369515,1.163428079390371,-3.303956782478304e-11,-7.616770678650098e-11,0.8524447876230755,-0.5228172568443489,-1.2459117014844024e-08,8.78511954092871e-08,-5.347326945928063e-13,2.387208896702087e-11,-3.2974002957558966e-11,1.743309202419299e-07,2.286663554014599e-10,-1.6124289097153894e-09,9.82917451135123e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970774447737,1215.0970774185068,1215.0970772313467,1215.0970773809652"
33252,332.531999999,world,332.53199999904365,0.14157211912746995,-0.017923462474774,1.163428079390367,-3.2974727667771e-11,-7.601179429284362e-11,0.8524447872129653,-0.5228172575130268,-1.2457062005805184e-08,8.783670252327669e-08,-5.339211955766736e-13,1.2492420797595852e-11,-1.73055661927935e-11,1.7430114375306196e-07,2.2813917720602426e-10,-1.6090786233584555e-09,8.526512829121525e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.097077448663,1215.0970774394611,1215.0970772677238,1215.0970773197414"
33253,332.540999999,world,332.5409999990436,0.14157211901536562,-0.01792346168430883,1.163428079390363,-3.300768546043927e-11,-7.609198527542353e-11,0.8524447868029297,-0.5228172581815828,-1.2455008821834626e-08,8.782222141206685e-08,-5.332263439929949e-13,-4.023897932190783e-11,5.5368740428615746e-11,1.7426759443275405e-07,2.2834314336010855e-10,-1.6103328279816005e-09,6.987003568307356e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970774521252,1215.0970774546947,1215.0970772916826,1215.0970772770831"
33254,332.552999999,world,332.55299999904355,0.141572118865922,-0.017923460630558243,1.1634280793903578,-3.302137627233205e-11,-7.612584002907295e-11,0.8524447862563188,-0.5228172590728228,-1.2452265326866156e-08,8.780287638101823e-08,-5.324867874288578e-13,2.3858383102903413e-11,-3.2955026141503034e-11,1.7423503898351016e-07,2.285411845997905e-10,-1.6115422912392105e-09,5.5067062021418266e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970774447292,1215.0970774184768,1215.0970772314192,1215.097077380956"
33255,332.561999999,world,332.5619999990435,0.14157211875386086,-0.017923459840397563,1.1634280793903538,-3.2956573331213826e-11,-7.597001594705053e-11,0.852444785846434,-0.5228172597411328,-1.2450211442696314e-08,8.778839146377565e-08,-5.320728962852776e-13,1.2485436229381243e-11,-1.7295710936884336e-11,1.7420527882922725e-07,2.2801429853145999e-10,-1.608193911169629e-09,3.907985046679016e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970774486166,1215.0970774394195,1215.097077267776,1215.0970773197657"
33256,332.570999999,world,332.57099999904347,0.14157211864181818,-0.01792345905036716,1.1634280793903498,-3.2989513332121324e-11,-7.605016342366227e-11,0.8524447854366242,-0.5228172604093213,-1.2448159382604932e-08,8.777391831454516e-08,-5.31780389525723e-13,-4.021687558785745e-11,5.533819082016201e-11,1.7417174786767918e-07,2.2821815251819886e-10,-1.6094474414883736e-09,2.7533531010658646e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970774520772,1215.097077454645,1215.0970772917217,1215.097077277131"
33257,332.582999999,world,332.5829999990434,0.1415721184924567,-0.017923457997196152,1.1634280793903444,-3.300319536230858e-11,-7.60839982892011e-11,0.8524447848903138,-0.5228172613000711,-1.2445417389327313e-08,8.775458391988505e-08,-5.315340680439928e-13,2.3845368503223234e-11,-3.293720078725009e-11,1.7413921015941005e-07,2.2841609288982255e-10,-1.6106562068702445e-09,1.509903313494898e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970774446855,1215.0970774184477,1215.097077231492,1215.0970773809465"
33258,332.591999999,world,332.59199999904337,0.1415721183804572,-0.017923457207470062,1.1634280793903404,-3.2938427559638945e-11,-7.592825882028704e-11,0.8524447844806546,-0.5228172619680136,-1.2443364629338278e-08,8.77401069671017e-08,-5.314677507219887e-13,1.2478774802042498e-11,-1.7286293658253292e-11,1.7410946626202349e-07,2.2788949469027137e-10,-1.6073096443613143e-09,1.7763568393582452e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970774485704,1215.0970774393788,1215.0970772678293,1215.0970773197903"
33259,332.600999999,world,332.6009999990433,0.14157211826847613,-0.017923456417874184,1.1634280793903364,-3.297135028753467e-11,-7.600836139207427e-11,0.8524447840710698,-0.5228172626358345,-1.2441313692536597e-08,8.772564177599748e-08,-5.314843300524897e-13,-4.019449490050402e-11,5.5308045472586963e-11,1.7407595372389642e-07,2.2809321508899568e-10,-1.6085624786307344e-09,-5.32907051817571e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970774520292,1215.0970774545958,1215.0970772917624,1215.097077277179"
33260,332.612999999,world,332.61299999904327,0.14157211811919682,-0.01792345536528242,1.163428079390331,-3.298502761918402e-11,-7.604217819295601e-11,0.85244478352506,-0.5228172635260945,-1.2438573200643486e-08,8.770631801224536e-08,-5.316252543617489e-13,2.3832349829849245e-11,-3.291862903805379e-11,1.7404343396683152e-07,2.2829100461265414e-10,-1.6097706160700237e-09,-1.7467508920793633e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970774446416,1215.0970774184182,1215.097077231566,1215.097077380938"
