header_seq,header_stamp,header_frame_id,t,pose_position_x,pose_position_y,pose_position_z,pose_orientation_x,pose_orientation_y,pose_orientation_z,pose_orientation_w,velocity_linear_x,velocity_linear_y,velocity_linear_z,velocity_angular_x,velocity_angular_y,velocity_angular_z,acceleration_linear_x,acceleration_linear_y,acceleration_linear_z,acceleration_angular_x,acceleration_angular_y,acceleration_angular_z,acc_bias_x,acc_bias_y,acc_bias_z,gyr_bias_x,gyr_bias_y,gyr_bias_z,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z,motors_len,motors
11038,110.391,world,110.39100000000407,-3.177909786311132e-18,4.312577437274537e-17,1.1444785530728532,3.676673624395688e-16,-3.765837072825447e-16,-6.5017428982373874e-18,1.0,2.1037172806815603e-15,-2.0965812212539442e-16,6.225797754172169e-14,-5.393941619800636e-15,-4.0762177373570844e-14,3.1210679943754508e-16,-7.185819745113902e-15,-7.237347104147729e-15,-1.7763568393961105e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970773688919,1215.0970773688923,1215.0970773688932,1215.0970773688907"
11039,110.403,world,110.40300000000407,2.1421998437090127e-17,4.010700827307492e-17,1.1444785530728532,3.308265707381994e-16,-6.111243084124582e-16,-4.647029254406098e-18,1.0,1.9870656562099148e-15,-2.9202381601646405e-16,6.225649724435552e-14,-6.845623665730712e-15,-3.729453056096515e-14,3.1087886834182857e-16,-1.1802745431642415e-14,-6.5219426459138275e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970773688914,1215.0970773688928,1215.0970773688937,1215.0970773688905"
11040,110.412,world,110.41200000000407,3.877662788134774e-17,3.7224437635931476e-17,1.1444785530728532,2.9811714149430206e-16,-7.717963067034836e-16,-3.2845585298932216e-18,1.0,1.864791086105499e-15,-3.4758458640840764e-16,6.227100415854392e-14,-7.640491665920577e-15,-3.404028009715631e-14,2.940761882292405e-16,-1.49698784414443e-14,-5.884362061399068e-15,1.7763568393961105e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.097077368891,1215.0970773688932,1215.0970773688937,1215.0970773688903"
11041,110.421,world,110.42100000000407,5.490718430587125e-17,3.3868674786949224e-17,1.1444785530728532,2.6225745319586117e-16,-9.168638484238941e-16,-1.9837824119417554e-18,1.0,1.7155090041924148e-15,-3.97085465190224e-16,6.225797754172169e-14,-8.289567588303084e-15,-3.0407257537317644e-14,2.8476933603107824e-16,-1.7832872988880386e-14,-5.184237754037462e-15,-1.7763568393961105e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970773688907,1215.0970773688932,1215.0970773688937,1215.09707736889"
11042,110.43,world,110.43000000000407,6.95833384853724e-17,3.0096643758748485e-17,1.1444785530728532,2.2375941332740906e-16,-1.0452223187536958e-15,-7.391647942373263e-19,1.0,1.5420808531549918e-15,-4.400094898137433e-16,6.224939181699794e-14,-8.725205285796414e-15,-2.6551585895408043e-14,2.6124699782815564e-16,-2.0369232988741647e-14,-4.431374393583693e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970773688905,1215.0970773688937,1215.0970773688937,1215.09707736889"
11043,110.442,world,110.44200000000407,8.654114109617898e-17,2.4525395065080502e-17,1.1444785530728532,1.707586410872107e-16,-1.1879849879774613e-15,7.259193922171981e-19,1.0,1.2786172697915123e-15,-4.86450945863808e-16,6.223488490280954e-14,-8.869520828413372e-15,-2.095285490495337e-14,2.3595887424338704e-16,-2.3196668631546688e-14,-3.392609469545537e-15,-1.7763568393961105e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.09707736889,1215.0970773688937,1215.0970773688937,1215.09707736889"
11044,110.451,world,110.45100000000407,9.708135363070571e-17,2.0022271390657327e-17,1.1444785530728532,1.3079832897637621e-16,-1.272603964546892e-15,1.7685788850503673e-18,1.0,1.0611627089586645e-15,-5.130675796177716e-16,6.221889769125497e-14,-8.89061788751307e-15,-1.6655579125904607e-14,2.2744534479360463e-16,-2.4877388375125802e-14,-2.6089633212632155e-15,-1.7763568393961105e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.09707736889,1215.0970773688937,1215.0970773688937,1215.09707736889"
11045,110.46,world,110.46000000000407,1.056023795490867e-16,1.531136500817091e-17,1.1444785530728532,9.074308009959308e-17,-1.3378852001106028e-15,2.7729274953595186e-18,1.0,8.304780453430728e-16,-5.326220879683046e-16,6.22029104797004e-14,-8.911714946612767e-15,-1.2358303346855839e-14,2.1893181534382232e-16,-2.6178833136811295e-14,-1.8234551592030437e-15,-1.7763568393961105e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.09707736889,1215.0970773688937,1215.0970773688937,1215.09707736889"
11046,110.472,world,110.47200000000407,1.13647963006491e-16,8.816946300824771e-18,1.1444785530728532,3.718840218351769e-17,-1.3948459170755429e-15,4.052464269623246e-18,1.0,5.082181670230239e-16,-5.476802727049115e-16,6.218159419762765e-14,-8.939844358745697e-15,-6.628602308124137e-15,2.0758044274411255e-16,-2.7324109513891256e-14,-7.732144772459617e-16,-1.7763568393961105e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.09707736889,1215.0970773688937,1215.0970773688937,1215.09707736889"
11047,110.481,world,110.48100000000407,1.171073341969158e-16,3.868941937743133e-18,1.1444785530728532,-3.088365813812262e-18,-1.4150057569592416e-15,4.967420820709685e-18,1.0,2.5993788794729836e-16,-5.506913179652134e-16,6.216560698607309e-14,-8.960941417845395e-15,-2.331326529075366e-15,1.9906691329433014e-16,-2.7740579317825657e-14,1.6638383629390963e-17,-1.7763568393961105e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.09707736889,1215.0970773688937,1215.0970773688937,1215.09707736889"
11048,110.49,world,110.49000000000407,1.1832128942956453e-16,-1.0741434650987668e-18,1.1444785530728532,-4.346007057709086e-17,-1.415827855837221e-15,5.844066489272102e-18,1.0,9.805755545630288e-18,-5.465843774087475e-16,6.214961977451852e-14,-8.982038476945093e-15,1.9659492499734068e-15,1.9055338384454773e-16,-2.7777774139866657e-14,8.083532582826924e-16,-1.7763568393961105e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.09707736889,1215.0970773688937,1215.0970773688937,1215.09707736889"
11049,110.502,world,110.50200000000407,1.1644919465500674e-16,-7.546395998017906e-18,1.1444785530728532,-9.743668967516019e-17,-1.3868430572211855e-15,6.953332674540181e-18,1.0,-3.206845820008296e-16,-5.30007069626387e-16,6.212830349244577e-14,-9.010167889078023e-15,7.695650288705102e-15,1.7920201124483786e-16,-2.7237383930753872e-14,1.866869557030384e-15,-1.7763568393961105e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.09707736889,1215.0970773688937,1215.0970773688937,1215.09707736889"
