header_seq,header_stamp,header_frame_id,pose_position_x,pose_position_y,pose_position_z,pose_orientation_x,pose_orientation_y,pose_orientation_z,pose_orientation_w
81569,1756139495.4289365,world,-0.0748801976442337,0.1584153175354004,1.1507419347763062,-0.005703836679458618,0.008837681263685226,0.12843692302703857,0.9916619062423706
81570,1756139495.4316187,world,-0.07511970400810242,0.1581439971923828,1.151349663734436,-0.005746990442276001,0.008926279842853546,0.12859871983528137,0.9916398525238037
81571,1756139495.4344494,world,-0.07531143724918365,0.1578015685081482,1.1519299745559692,-0.005859792232513428,0.008787225931882858,0.1286185383796692,0.9916378855705261
81572,1756139495.43724,world,-0.07547882199287415,0.15749329328536987,1.1524853706359863,-0.005889028310775757,0.008599575608968735,0.12857595086097717,0.9916449785232544
81573,1756139495.439916,world,-0.07566547393798828,0.15717898309230804,1.1530402898788452,-0.005914807319641113,0.008482355624437332,0.12850207090377808,0.9916552901268005
81574,1756139495.4428349,world,-0.07588605582714081,0.15689590573310852,1.153564691543579,-0.005938321352005005,0.008473988622426987,0.12847131490707397,0.9916591644287109
81575,1756139495.4456263,world,-0.07610002160072327,0.15664750337600708,1.1541420221328735,-0.005943626165390015,0.008584536612033844,0.12829741835594177,0.9916807413101196
81576,1756139495.4484255,world,-0.0763203352689743,0.15631800889968872,1.1546807289123535,-0.006140321493148804,0.008684340864419937,0.12839730083942413,0.9916658401489258
81577,1756139495.4512565,world,-0.07654551416635513,0.15603286027908325,1.1552503108978271,-0.006141036748886108,0.008838877081871033,0.12837298214435577,0.9916675090789795
81578,1756139495.4539127,world,-0.07673624157905579,0.15566930174827576,1.1557984352111816,-0.006302922964096069,0.008757136762142181,0.12848299741744995,0.9916529655456543
81579,1756139495.4567454,world,-0.07692550122737885,0.15540869534015656,1.1563438177108765,-0.0063104331493377686,0.008748695254325867,0.1284436285495758,0.991658091545105
81580,1756139495.4597278,world,-0.07710693031549454,0.15509413182735443,1.156893253326416,-0.006485432386398315,0.008676547557115555,0.12834617495536804,0.9916702508926392
81581,1756139495.4622843,world,-0.07732000946998596,0.15481224656105042,1.157431960105896,-0.006583511829376221,0.008753065019845963,0.12832608819007874,0.9916715621948242
81582,1756139495.4651806,world,-0.07750823348760605,0.15442898869514465,1.1579864025115967,-0.006833016872406006,0.008805576711893082,0.12844325602054596,0.9916542172431946
81583,1756139495.4677198,world,-0.07778350263834,0.15416857600212097,1.1585551500320435,-0.006809800863265991,0.009180575609207153,0.12851989269256592,0.9916410446166992
81584,1756139495.4705973,world,-0.07797986268997192,0.1538519561290741,1.1591066122055054,-0.006969332695007324,0.009229738265275955,0.12853536009788513,0.9916375279426575
81585,1756139495.4734874,world,-0.07814253121614456,0.1535322517156601,1.1596553325653076,-0.00709301233291626,0.009213902056217194,0.12859147787094116,0.9916294813156128
81586,1756139495.4761598,world,-0.07827436178922653,0.1531982272863388,1.160176396369934,-0.007250189781188965,0.009226936846971512,0.12856674194335938,0.9916314482688904
81587,1756139495.4790704,world,-0.07849769294261932,0.1529320627450943,1.1607471704483032,-0.007347166538238525,0.00941414013504982,0.12859715521335602,0.9916250109672546
81588,1756139495.481708,world,-0.0787225291132927,0.1526661515235901,1.161307692527771,-0.007363349199295044,0.009589537978172302,0.12845437228679657,0.9916417598724365
81589,1756139495.4844148,world,-0.07892100512981415,0.15239545702934265,1.16189444065094,-0.00743710994720459,0.00972437858581543,0.12840811908245087,0.9916458129882812
81590,1756139495.487102,world,-0.0791374146938324,0.15211550891399384,1.1624654531478882,-0.007519364356994629,0.00992993637919426,0.12841041386127472,0.9916428923606873
81591,1756139495.490177,world,-0.0793190449476242,0.15181413292884827,1.1629990339279175,-0.007710903882980347,0.009997665882110596,0.12848791480064392,0.9916306734085083
81592,1756139495.4927833,world,-0.07953184843063354,0.15152131021022797,1.1635328531265259,-0.007767587900161743,0.010198034346103668,0.12845346331596375,0.9916326999664307
81593,1756139495.4955294,world,-0.07969637215137482,0.15119612216949463,1.1640517711639404,-0.007988661527633667,0.010249689221382141,0.12845030426979065,0.9916307926177979
81594,1756139495.4983175,world,-0.07995527237653732,0.15094071626663208,1.1646023988723755,-0.008045792579650879,0.010581497102975845,0.12850432097911835,0.991619884967804
81595,1756139495.5010917,world,-0.080108143389225,0.15057441592216492,1.165130615234375,-0.008357852697372437,0.010656166821718216,0.12863415479660034,0.9915996789932251
81596,1756139495.503869,world,-0.08036492019891739,0.15030162036418915,1.1656821966171265,-0.008456140756607056,0.011027779430150986,0.12874510884284973,0.9915803670883179
81597,1756139495.5068445,world,-0.08054548501968384,0.1500130295753479,1.166207194328308,-0.008592069149017334,0.01111876592040062,0.12874139845371246,0.9915786385536194
81598,1756139495.509485,world,-0.08074581623077393,0.1497655212879181,1.1667594909667969,-0.008654654026031494,0.011253241449594498,0.1287381947040558,0.9915769696235657
81599,1756139495.5121193,world,-0.08090802282094955,0.14947831630706787,1.1673028469085693,-0.008736610412597656,0.011394452303647995,0.1286381483078003,0.9915876388549805
81600,1756139495.5151188,world,-0.08108912408351898,0.1491905152797699,1.167840838432312,-0.008875250816345215,0.011573731899261475,0.12865768373012543,0.9915817975997925
81601,1756139495.517685,world,-0.08131951093673706,0.14895787835121155,1.1683917045593262,-0.008836567401885986,0.011896826326847076,0.12856537103652954,0.9915903210639954
81602,1756139495.5205863,world,-0.08148901909589767,0.14868047833442688,1.1689352989196777,-0.008983910083770752,0.012050814926624298,0.12855657935142517,0.991588294506073
81603,1756139495.5234401,world,-0.08171121776103973,0.14843621850013733,1.1694772243499756,-0.009038418531417847,0.01235092431306839,0.12858489155769348,0.9915803670883179
81604,1756139495.52617,world,-0.08187364786863327,0.14813071489334106,1.1699954271316528,-0.009229153394699097,0.012434720993041992,0.12860813736915588,0.9915745258331299
81605,1756139495.5287743,world,-0.082084059715271,0.14789433777332306,1.170548439025879,-0.009283334016799927,0.012602493166923523,0.12863409519195557,0.9915685653686523
81606,1756139495.5317516,world,-0.08223783224821091,0.147589311003685,1.1710524559020996,-0.009430527687072754,0.012618720531463623,0.12859049439430237,0.9915726184844971
81607,1756139495.5345263,world,-0.08242405951023102,0.14729569852352142,1.171592354774475,-0.00954437255859375,0.01277114823460579,0.12874743342399597,0.9915492534637451
81608,1756139495.5371835,world,-0.08262991160154343,0.1469857096672058,1.1721570491790771,-0.009642601013183594,0.013029143214225769,0.12885305285453796,0.991531252861023
81609,1756139495.5399957,world,-0.08283282816410065,0.14673462510108948,1.172694444656372,-0.009682834148406982,0.013281464576721191,0.12885849177837372,0.9915267825126648
81610,1756139495.5427544,world,-0.08301882445812225,0.1464804708957672,1.1732244491577148,-0.009668469429016113,0.013517089188098907,0.12878328561782837,0.9915335178375244
81611,1756139495.5454934,world,-0.08316591382026672,0.1462128758430481,1.1737430095672607,-0.009889841079711914,0.01352669671177864,0.1288166642189026,0.9915268421173096
81612,1756139495.5482943,world,-0.0833437517285347,0.14594519138336182,1.1742922067642212,-0.010067760944366455,0.013683952391147614,0.12892773747444153,0.9915085434913635
81613,1756139495.5511496,world,-0.08348114043474197,0.14564068615436554,1.1748026609420776,-0.010211855173110962,0.013746488839387894,0.1289709359407425,0.9915004968643188
81614,1756139495.553946,world,-0.08371733129024506,0.14541368186473846,1.1753474473953247,-0.010107845067977905,0.014108113944530487,0.1290033757686615,0.9914922714233398
81615,1756139495.5567691,world,-0.08389953523874283,0.14517661929130554,1.175856351852417,-0.010137736797332764,0.014271140098571777,0.12899452447891235,0.9914907813072205
81616,1756139495.5593102,world,-0.0840926468372345,0.14497195184230804,1.1763715744018555,-0.010079532861709595,0.014453370124101639,0.1289551556110382,0.9914939403533936
81617,1756139495.562274,world,-0.08425629884004593,0.14472463726997375,1.1768749952316284,-0.010099828243255615,0.014524120837450027,0.12891222536563873,0.9914981722831726
81618,1756139495.5651472,world,-0.084442138671875,0.14449526369571686,1.1773837804794312,-0.010160833597183228,0.014665864408016205,0.1289234459400177,0.9914940595626831
81619,1756139495.5680597,world,-0.08460543304681778,0.144269198179245,1.1779042482376099,-0.010145366191864014,0.014778874814510345,0.12893638014793396,0.9914907813072205
81620,1756139495.5704827,world,-0.08473417162895203,0.14403070509433746,1.17838716506958,-0.010165393352508545,0.014797776937484741,0.1290106326341629,0.9914806485176086
81621,1756139495.5734336,world,-0.08493217825889587,0.14377723634243011,1.1789073944091797,-0.010088562965393066,0.015042360872030258,0.12903934717178345,0.9914740324020386
81622,1756139495.5760884,world,-0.08509630709886551,0.14346222579479218,1.1793972253799438,-0.010211914777755737,0.015099804848432541,0.12927167117595673,0.9914416074752808
81623,1756139495.5787551,world,-0.08529509603977203,0.14321213960647583,1.1799176931381226,-0.010167837142944336,0.015300940722227097,0.1294214427471161,0.9914194345474243
81624,1756139495.5817437,world,-0.08543071150779724,0.14295408129692078,1.1804083585739136,-0.010190576314926147,0.015241187065839767,0.1294495314359665,0.9914164543151855
81625,1756139495.5845382,world,-0.08561649918556213,0.14273618161678314,1.1809513568878174,-0.010122478008270264,0.015342757105827332,0.1294456422328949,0.9914161562919617
