header_stamp,t,header_seq,header_frame,pose_pos_x,pose_pos_y,pose_pos_z,pose_quat_x,pose_quat_y,pose_quat_z,pose_quat_w,vel_lin_x,vel_lin_y,vel_lin_z,vel_ang_x,vel_ang_y,vel_ang_z,acc_lin_x,acc_lin_y,acc_lin_z,acc_ang_x,acc_ang_y,acc_ang_z,acc_bias_x,acc_bias_y,acc_bias_z,gyr_bias_x,gyr_bias_y,gyr_bias_z,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z,motors_len,motors
1755403266.499174,1755403266.499174,7671,world,-0.04066932940931355,0.2769526208390699,0.10458584290561457,-0.0024819419177899986,0.017848936705245635,0.05938119904664595,0.9980727070823006,0.0001158615165207902,1.4391605196737683e-05,0.0003267931697438013,-0.0017076142116031754,0.003878442398625238,-0.0030704111524846455,0.0007627310558439331,-0.0002115576385522803,0.002455006104720484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0,0,0,0"
1755403266.5090463,1755403266.5090463,7672,world,-0.04066653673027259,0.27695051253828407,0.10459975706664591,-0.0024777550876288346,0.017828153708694047,0.05938627922921705,0.9980727866765903,0.00020680720233285754,-3.72880002336922e-05,0.0007556913332708796,0.000516186175681992,-0.00018400612259216029,-0.001446975243680532,0.001449659239406978,-0.0005243579331270804,0.005581271208808199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0,0,0,0"
1755403266.519063,1755403266.519063,7673,world,-0.040671091072521294,0.2769410932097228,0.10459353357646035,-0.0024888878164043165,0.017743655555376735,0.05946682836455148,0.99806946874916,-4.135961292606087e-05,-0.00040084396186005505,0.00029836167052687456,-0.0003416999619864503,-0.01070650490909536,0.008100167260794166,-0.0005911147757650588,-0.0033173594323365457,0.001666746301250209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0,0,0,0"
1755403266.529059,1755403266.529059,7674,world,-0.04066024040229987,0.2769458199797399,0.10459421494752613,-0.00246157474156605,0.017824651838248294,0.05937881533630217,0.9980733333407392,0.00038250620295430057,-0.00011355228708263398,0.00020027714252982497,0.004463523555828831,0.0015435044101295516,-0.005456122109257289,0.0027232088879058946,-0.0008809173766956717,0.0007342585422586373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0,0,0,0"
1755403266.5390334,1755403266.5390334,7675,world,-0.04066717724233661,0.2769452538173964,0.1045930931875312,-0.0025154272126309764,0.017835165926811298,0.059428627170755775,0.9980700465172275,3.6843434896514125e-05,-6.529390041072878e-05,9.928088454744191e-05,-0.0020555626547619993,-0.00023238100918027558,0.0021109153871583406,-7.124251067877892e-05,-0.00037401907562022055,-7.908498431205243e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0,0,0,0"
1755403266.549048,1755403266.549048,7676,world,-0.04065460263073449,0.27695542768668974,0.10459292637953754,-0.0024293470974725705,0.01783757180888805,0.05934953488183572,0.9980749230463377,0.00047673899356502554,0.00032960392746676553,4.795439293476362e-05,0.008365961038417429,-9.086598559614489e-05,-0.007017203942189552,0.0032797698465160743,0.002672858444384809,-0.0004815219584078063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0,0,0,0"
1755403266.5590398,1755403266.5590398,7677,world,-0.04067172594810978,0.2769497516581472,0.10458666204260053,-0.0024961905210192908,0.017807399079816367,0.059427303064118586,0.9980706694525294,-0.00025881675642107745,1.8756660282425467e-05,-0.00019139763548911757,-0.0021793607357851745,-0.0033994835168937075,0.002864793060496588,-0.002508795748313948,8.640677064017881e-05,-0.002249506074004339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0,0,0,0"
1755403266.5692534,1755403266.5692534,7678,world,-0.04067411472113151,0.27695086905322636,0.10458659703039798,-0.002506096857704476,0.017816971644964014,0.05942794149412699,0.998070435775809,-0.0002684587041694911,6.309593218046141e-05,-0.0001400416226203021,-0.0026547410773156556,-0.0009958459164154272,0.0018624677019270222,-0.0023824828493090007,0.0004380237712049036,-0.0016797260866263683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0,0,0,0"
1755403266.579058,1755403266.579058,7679,world,-0.04067693571562875,0.27695262986783437,0.10457582164825989,-0.002490650702798864,0.017852867668574288,0.05941853894841391,0.9980703928102072,-0.0002858951443741695,0.00010161706075249836,-0.0004921373796893775,0.0014805879393421874,0.0040301851875885015,-0.00048076011457276864,-0.0023205553202264263,0.0006856712472225538,-0.0042321529335635774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0,0,0,0"
1755403266.5890558,1755403266.5890558,7680,world,-0.04067895823770679,0.2769495913424902,0.10458119572124287,-0.0025089475041395084,0.017808131689432304,0.05941575335059898,0.9980713120223094,-0.00026989527784081473,-2.9624840021648415e-05,-0.00015051737522697397,-0.0013225774199193726,-0.002707255422563124,-0.0017654217889538127,-0.002012100631618493,-0.0003450501242882872,-0.001301239781272676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0,0,0,0"
