header_stamp,header_seq,header_frame,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w
1755403332.0627382,52086,world,-0.12297921627759933,0.36424776911735535,0.10424533486366272,-0.020771294832229614,0.02461019903421402,-0.05601900815963745,0.9979102611541748
1755403332.0653775,52087,world,-0.12298940122127533,0.36424189805984497,0.10422778129577637,-0.02079707384109497,0.02463552914559841,-0.05596661567687988,0.9979119896888733
1755403332.0680976,52088,world,-0.12297685444355011,0.3642500936985016,0.10422798246145248,-0.02077484130859375,0.024624641984701157,-0.056006159633398056,0.9979104995727539
1755403332.0709224,52089,world,-0.12296964228153229,0.3642567992210388,0.10423390567302704,-0.0207330584526062,0.024596290662884712,-0.05599386245012283,0.9979127049446106
1755403332.073831,52090,world,-0.12298344820737839,0.36424076557159424,0.10422880202531815,-0.020792394876480103,0.024649329483509064,-0.05599134415388107,0.9979103803634644
1755403332.0765047,52091,world,-0.12297048419713974,0.3642434775829315,0.10423751920461655,-0.020757704973220825,0.02462131716310978,-0.056020431220531464,0.9979101419448853
1755403332.0792577,52092,world,-0.1229783147573471,0.36424294114112854,0.10423548519611359,-0.02077615261077881,0.024628253653645515,-0.056003279983997345,0.9979104995727539
1755403332.0820725,52093,world,-0.12300428003072739,0.364248126745224,0.10422462970018387,-0.020788103342056274,0.024648047983646393,-0.055974699556827545,0.9979114532470703
1755403332.0848656,52094,world,-0.12298837304115295,0.36424559354782104,0.10423191636800766,-0.020781517028808594,0.024641452357172966,-0.05598943680524826,0.9979108572006226
1755403332.0876567,52095,world,-0.12298412621021271,0.3642408549785614,0.10422895848751068,-0.020792603492736816,0.024592455476522446,-0.05596998706459999,0.9979128837585449
1755403332.0902834,52096,world,-0.12298866361379623,0.36423709988594055,0.10422105342149734,-0.02079629898071289,0.024629907682538033,-0.05597850680351257,0.9979114532470703
1755403332.0932467,52097,world,-0.12298630177974701,0.36424005031585693,0.10422258079051971,-0.02077886462211609,0.024627147242426872,-0.05598520487546921,0.9979114532470703
1755403332.095889,52098,world,-0.12299054116010666,0.36423495411872864,0.10423076897859573,-0.020801454782485962,0.02464989386498928,-0.05597516894340515,0.9979110956192017
1755403332.0991113,52099,world,-0.1229860857129097,0.3642377257347107,0.10422664880752563,-0.02078491449356079,0.02464139275252819,-0.055985644459724426,0.9979110360145569
1755403332.1015415,52100,world,-0.12299124896526337,0.3642374873161316,0.10422623157501221,-0.020774513483047485,0.024637077003717422,-0.055984240025281906,0.9979114532470703
1755403332.1045425,52101,world,-0.1229747086763382,0.36423951387405396,0.1042397990822792,-0.020758867263793945,0.024609798565506935,-0.05600809305906296,0.9979110956192017
1755403332.1072443,52102,world,-0.12297599017620087,0.36423560976982117,0.1042400449514389,-0.02076771855354309,0.024634063243865967,-0.05599182844161987,0.9979112148284912
1755403332.1101003,52103,world,-0.1229870393872261,0.3642411530017853,0.10423985123634338,-0.020793646574020386,0.024634918197989464,-0.05599137395620346,0.9979106187820435
1755403332.1125693,52104,world,-0.12298465520143509,0.3642420768737793,0.10423260927200317,-0.020769774913787842,0.024627352133393288,-0.05599192529916763,0.9979113936424255
1755403332.1152997,52105,world,-0.12298005819320679,0.3642364740371704,0.10424534231424332,-0.020780295133590698,0.024633431807160378,-0.05600520968437195,0.9979101419448853
1755403332.118162,52106,world,-0.12298315763473511,0.3642493486404419,0.10423953086137772,-0.02075311541557312,0.02461986429989338,-0.05598713457584381,0.9979120492935181
1755403332.1209562,52107,world,-0.12298562377691269,0.36424511671066284,0.1042303666472435,-0.020758748054504395,0.024628588929772377,-0.055986665189266205,0.997911810874939
1755403332.123639,52108,world,-0.12298761308193207,0.36424240469932556,0.10423952341079712,-0.020795047283172607,0.024625027552247047,-0.055986128747463226,0.9979111552238464
1755403332.126525,52109,world,-0.1229858323931694,0.3642425835132599,0.10424147546291351,-0.02077794075012207,0.02461668848991394,-0.055978551506996155,0.9979121685028076
1755403332.1292772,52110,world,-0.12298715114593506,0.36424481868743896,0.10423441231250763,-0.020769834518432617,0.024635074660182,-0.05597949028015137,0.997911810874939
1755403332.1320777,52111,world,-0.12297471612691879,0.3642495274543762,0.1042390912771225,-0.020755022764205933,0.024639731273055077,-0.05600331723690033,0.9979106187820435
1755403332.1350093,52112,world,-0.12297779321670532,0.3642500340938568,0.10424540936946869,-0.02072969079017639,0.024655165150761604,-0.05600425601005554,0.9979108572006226
1755403332.1377802,52113,world,-0.12298426777124405,0.3642488121986389,0.10424204915761948,-0.020769476890563965,0.024654066190123558,-0.05597802996635437,0.9979114532470703
1755403332.1404743,52114,world,-0.12298228591680527,0.3642488718032837,0.10424164682626724,-0.020772039890289307,0.0246198158711195,-0.055995725095272064,0.997911274433136
1755403332.143158,52115,world,-0.12298282980918884,0.36424747109413147,0.10424632579088211,-0.020761460065841675,0.024631580337882042,-0.05600806325674057,0.9979104995727539
1755403332.14607,52116,world,-0.12298958003520966,0.3642476499080658,0.10423950850963593,-0.020783811807632446,0.024637341499328613,-0.05597948282957077,0.9979115724563599
1755403332.1488748,52117,world,-0.1229819729924202,0.3642447590827942,0.10423479229211807,-0.020767301321029663,0.024636942893266678,-0.05597281828522682,0.9979121685028076
1755403332.1515052,52118,world,-0.12297766655683517,0.36424922943115234,0.10424379259347916,-0.020746588706970215,0.024630017578601837,-0.05600667744874954,0.9979109764099121
1755403332.154183,52119,world,-0.12297175079584122,0.36425572633743286,0.10424413532018661,-0.020736753940582275,0.02462773770093918,-0.05602617561817169,0.9979100823402405
