header_stamp,t,header_seq,header_frame,pose_pos_x,pose_pos_y,pose_pos_z,pose_quat_x,pose_quat_y,pose_quat_z,pose_quat_w,vel_lin_x,vel_lin_y,vel_lin_z,vel_ang_x,vel_ang_y,vel_ang_z,acc_lin_x,acc_lin_y,acc_lin_z,acc_ang_x,acc_ang_y,acc_ang_z,acc_bias_x,acc_bias_y,acc_bias_z,gyr_bias_x,gyr_bias_y,gyr_bias_z,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z,motors_len,motors
1755403332.0690665,1755403332.0690665,14228,world,-0.12298108408576572,0.36424690938615484,0.10424035240014523,-0.020776364536651028,0.024604420485892217,-0.05602547271038581,0.9979098714697494,-0.00018139243047686802,7.279838575298433e-06,0.00014248477208935497,0.0006261661408698177,-0.001380754553454516,-0.003355341917057485,-0.0017707616481315214,1.2852849236792859e-05,0.0009751761817493506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0,0,0,0"
1755403332.079174,1755403332.079174,14229,world,-0.12298056510113006,0.36424743049401603,0.10423013484735631,-0.02076918322906632,0.02463767804599596,-0.05598820530553187,0.9979112920070425,-9.226375078181265e-05,1.7825411113655942e-05,-0.000269542478319463,0.000445472862701894,0.0031801171709946495,0.0016197225684745687,-0.0009188799879591727,7.9038047400397e-05,-0.002233339046252755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0,0,0,0"
1755403332.0890634,1755403332.0890634,14230,world,-0.12298837995956761,0.36424548891496233,0.10422870499451704,-0.020784965103576414,0.024651826694570406,-0.05598317363801492,0.997910896290686,-0.00041781710706623263,-5.1068874794092416e-05,-0.00026348881853317075,-0.002329738563003738,0.0033697462466122517,0.0024474409368666805,-0.0034688389271765293,-0.00043661328955042506,-0.0020615682688446407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0,0,0,0"
1755403332.099047,1755403332.099047,14231,world,-0.12299051535383775,0.36423915006828683,0.10422200756345434,-0.020792745937634506,0.02462087541924348,-0.055972816396238675,0.9979120793109162,-0.0003616499379598899,-0.0002775552562525956,-0.0004497360531865916,-0.0011147711423143117,-0.001027856790317128,0.0016056436347091454,-0.002755265957682632,-0.0021520214830569534,-0.0033682442319507085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0,0,0,0"
1755403332.1090887,1755403332.1090887,14232,world,-0.12299297222727668,0.36423414383697567,0.10422298488036094,-0.02077808572903857,0.02464741394143758,-0.05598355942536716,0.9979111269113611,-0.0003391692162297334,-0.0003688732493512417,-0.0002804429706832922,0.0015164254821078023,0.0019391106587944209,-0.0004518028694631858,-0.0023683191436097233,-0.0026690842198921617,-0.0018256660310968903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0,0,0,0"
1755403332.1190732,1755403332.1190732,14233,world,-0.1229838308139248,0.36423727829510977,0.10423651653070876,-0.020770812620200755,0.02462765120006623,-0.0559982151886336,0.9979109439399649,5.763943617315175e-05,-0.0001284650753643684,0.00026827621071376384,0.00084854482323946,-0.00043016702330802426,-0.0009722114424271454,0.0007573047477370111,-0.0006037794213359193,0.002434888907732664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0,0,0,0"
1755403332.1291692,1755403332.1291692,14234,world,-0.12298457834796556,0.3642432416431881,0.10424035818776742,-0.020779387844468523,0.024623145237929665,-0.05598403768526838,0.9979116720851879,-8.104400861807805e-06,0.00014111649075451452,0.000302965305745204,-0.001647030308852563,-0.000838621891289824,0.0014094410174579895,0.00014944711743768223,0.0015186805724711253,0.0024582144886399274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0,0,0,0"
1755403332.1391194,1755403332.1391194,14235,world,-0.12298158306816244,0.364247661970126,0.10424108952028281,-0.020758826616765525,0.02463996950912715,-0.055992659213844366,0.9979112010265476,0.00012860806937903897,0.0002764676875552094,0.00023232890736409214,0.0018639047065158744,0.002056230996626989,-0.0008669212163076537,0.0012287852543345565,0.0024624165358861946,0.0017179252486181997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0,0,0,0"
1755403332.1495862,1755403332.1495862,14236,world,-0.12298192375727882,0.364250799246634,0.10424592045237009,-0.020763025757427087,0.024632373146220066,-0.05600759161441256,0.9979104632361239,7.859690773194048e-05,0.000300685427975415,0.00034062986998247946,0.0008078910324215866,-0.00033842599259795766,-0.0027061745639629267,0.0007513648276441841,0.0024391990362800566,0.0024198615637392638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0,0,0,0"
1755403332.1590943,1755403332.1590943,14237,world,-0.12298120060820626,0.36425035504422026,0.10424310370717074,-0.020750488786994033,0.024631459489102562,-0.05599602311747507,0.9979113957729738,0.0001045590836261422,0.00020221514328329896,0.00014858294987297853,0.002585318355054492,-0.0003395999233220528,-0.000907717235487289,0.0009372587716313969,0.0015165724352321365,0.0007986777047930506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"0,0,0,0"
