t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
0.2,6.230513515505624e-06,0.9999999999805903,1.0,0.9999999883994756,2.1454632920425593e-09,0.00015231890512889032,-1.7277166881666138e-13,0.00015321266487744039,-9.545935792840544e-10,0.0,1.6798490821541315e-07,0.004379778069970658,-2.175690914363348e-12,0.002988497022633227,-4.2093991771139775e-08,0.0,5.696379074152388e-06,0.04005885791778978,-9.288306908306906e-11,1.71391708786867,1.7195822658632869,1.7195830714743743,1.7139178934368882,0.04295964469030013,-1.6412874254644382e-06,0.0,0.39301848792093613,-5.556989695711477e-05,0.0
0.22,9.952403717612675e-06,0.9999999999504748,1.0,0.9999999799574179,4.506969567330921e-09,0.00020021279637581586,-4.714581153040405e-13,0.0002221079998574506,-2.210508483602283e-09,0.0,3.1971275140725765e-07,0.005209603875878183,-4.883290742135556e-12,0.003928175301085837,-8.842675007990395e-08,0.0,9.818307729839228e-06,0.04288658864562769,-1.8873789339740608e-10,1.7137169036296747,1.719781983116776,1.7197833716787227,1.7137182921045115,0.05110064481423959,-3.126011725803706e-06,0.0,0.4207577282726974,-9.587868246757149e-05,0.0
0.24,1.5251173289621652e-05,0.9999999998837008,1.0,0.9999999670572884,8.859048328114265e-09,0.00025668155732594134,-1.1768147059458916e-12,0.00031146144145647675,-4.750152417240515e-09,0.0,5.741939121312207e-07,0.006094017963108738,-1.0189872344016103e-11,0.005036092652442616,-1.7381455130191741e-07,0.0,1.6102804705933625e-05,0.0455185332921354,-3.5948925541293043e-10,1.7135304412628158,1.719967733891964,1.719970011255395,1.7135327184603288,0.05977715009688437,-5.617317708531979e-06,0.0,0.4465763969733459,-0.000157370611186267,0.0
0.26,2.257033344061972e-05,0.99999999974529,1.0,0.9999999480769413,1.646833181857105e-08,0.00032225163259191376,-2.725148928659258e-12,0.0004247423261624901,-9.586575930273656e-09,0.0,9.821703057025262e-07,0.007029149669072319,-1.9996822376005335e-11,0.006322578016316135,-3.2310873784071176e-07,0.0,2.5329510492020622e-05,0.04795919012032827,-6.483846859194257e-10,1.7133573387082404,1.7201397922694728,1.7201433745528067,1.7133609206923197,0.06895119139523363,-9.612650874641183e-06,0.0,0.47051865795700226,-0.0002476906997617778,0.0
0.28,3.2424797565757456e-05,0.9999999994743163,1.0,0.9999999210321622,2.919203152649967e-08,0.00039741120841074544,-5.919222887220415e-12,0.0005656190341821699,-1.8340082692337186e-08,0.0,1.6116569898868193e-06,0.008011217888274615,-3.72380292317077e-11,0.0077972097562052575,-5.72747840389318e-07,0.0,3.84489904596904e-05,0.05021301653572807,-1.1162142272143455e-09,1.713197227197294,1.7202984198389557,1.7203038576048786,1.7132026644480411,0.07858567893818541,-1.5778875525807527e-05,0.0,0.4926282843315064,-0.00037616103796707444,0.0
0.3,4.540471317528938e-05,0.999999998969206,1.0,0.9999998835432532,4.966823516584251e-08,0.00048261110400474197,-1.2165425912069338e-11,0.0007379441532715824,-3.3506142653215915e-08,0.0,2.5515104835352055e-06,0.00903653025287786,-6.627426388441428e-11,0.009468833168701677,-9.744912296044402e-07,0.0,5.659744368116335e-05,0.052284428850967596,-1.8457534553041782e-09,1.7130497304590997,1.7204438648713536,1.720451869384457,1.7130577341203166,0.08864439449971412,-2.4987283656010088e-05,0.0,0.5129486572727728,-0.000553925148721482,0.0
0.32,6.21790005916257e-05,0.9999999980668859,1.0,0.999999832804399,8.15433106855981e-08,0.0005782656546948785,-2.38256822150571e-11,0.0009457399911839948,-5.8805167585030794e-08,0.0,3.915275998919818e-06,0.010101482308170838,-1.1338103403095443e-10,0.01134557783590591,-1.5998808284466314e-06,0.0,8.110984571058109e-05,0.05417780200970522,-2.9466559668908637e-09,1.7129144640216671,1.7205763615798382,1.720587832924058,1.7129259340058918,0.09909198354485621,-3.8351340907363224e-05,0.0,0.5315227643840682,-0.0007940769883842908,0.0
0.34,8.349860535533927e-05,0.9999999965139914,1.0,0.9999997655562268,1.2973904336525254e-07,0.0006847535867085374,-4.4723173746137215e-11,0.0011931844335927898,-9.962923648400674e-08,0.0,5.84528025853621e-06,0.011202556682000422,-1.8733821689822928e-10,0.013434874820390363,-2.5454824219938645e-06,0.0,0.00011353133113721867,0.05589746925589254,-4.560723809386683e-09,1.7127910346194832,1.7206961294794108,1.7207121862864139,1.7128070893215372,0.1098939473360557,-5.72668428088724e-05,0.0,0.5483931973396144,-0.001111772686848579,0.0
0.36,0.00011019947121808218,0.9999999939280383,1.0,0.9999996780618956,2.007617804061711e-07,0.0008024188836129617,-8.084909058987225e-11,0.0014845971443314906,-1.636018212705891e-07,0.0,8.516933031012382e-06,0.01233632224689126,-3.0012818527622617e-10,0.01574347370175986,-3.938951208709653e-06,0.0,0.00015562665604816378,0.057447721729420725,-6.8674686965692585e-09,1.712679039717874,1.7208033728527923,1.7208253833698344,1.7127010470653152,0.1210166349834484,-8.345411992222851e-05,0.0,0.5636021485956795,-0.0015243234646133948,0.0
0.38,0.00014320524053699216,0.9999999897461295,1.0,0.9999995660869957,3.030554737649203e-07,0.0009315716442915808,-1.4132628866836283e-10,0.001824426104770297,-2.6126738185459995e-07,0.0,1.214319764797815e-05,0.0134994332731653,-4.677472600213826e-10,0.018277459453485443,-5.945958718438558e-06,0.0,0.0002093876125597603,0.05883280796568115,-1.0089863481777682e-08,1.712578067162835,1.7208982803281616,1.7209278945358466,1.7126076767136595,0.13242723541795284,-0.00011900190244982058,0.0,0.5771914069143563,-0.002051268479062746,0.0
