header_seq,header_stamp,header_frame_id,t,is_single_rotor_thrust,collective_thrust,bodyrates_x,bodyrates_y,bodyrates_z,thrusts_0,thrusts_1,thrusts_2,thrusts_3
15796,1756792478.5781567,,1756792478.5781567,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15797,1756792478.5879245,,1756792478.5879245,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15798,1756792478.597931,,1756792478.597931,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15799,1756792478.607923,,1756792478.607923,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15800,1756792478.617935,,1756792478.617935,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15801,1756792478.627937,,1756792478.627937,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15802,1756792478.6379662,,1756792478.6379662,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15803,1756792478.648132,,1756792478.648132,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15804,1756792478.6579165,,1756792478.6579165,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15805,1756792478.6679463,,1756792478.6679463,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15806,1756792478.6779292,,1756792478.6779292,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15807,1756792478.6902003,,1756792478.6902003,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15808,1756792478.6979103,,1756792478.6979103,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15809,1756792478.7079315,,1756792478.7079315,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15810,1756792478.7179458,,1756792478.7179458,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15811,1756792478.7279205,,1756792478.7279205,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15812,1756792478.737923,,1756792478.737923,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15813,1756792478.747906,,1756792478.747906,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15814,1756792478.757905,,1756792478.757905,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15815,1756792478.7679052,,1756792478.7679052,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15816,1756792478.7779098,,1756792478.7779098,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
