header_seq,header_stamp,header_frame_id,t,is_single_rotor_thrust,collective_thrust,bodyrates_x,bodyrates_y,bodyrates_z,thrusts_0,thrusts_1,thrusts_2,thrusts_3
9400,94.011,,94.01100000000345,False,8.36181446927479,-1.1459439143345533e-05,-7.43203014200461e-06,7.866768430630636e-05,nan,nan,nan,nan
9401,94.023,,94.02300000000345,False,8.361814469274846,-1.1456918385044145e-05,-7.4303952904389415e-06,7.865037472104642e-05,nan,nan,nan,nan
9402,94.032,,94.03200000000345,False,8.361814469274885,-1.145502747056078e-05,-7.429168932891115e-06,7.863739487464282e-05,nan,nan,nan,nan
9403,94.041,,94.04100000000345,False,8.361814469274924,-1.1453136359357984e-05,-7.427942466978066e-06,7.862441707030144e-05,nan,nan,nan,nan
9404,94.05,,94.05000000000345,False,8.361814469274961,-1.1451244407031381e-05,-7.4267154755304915e-06,7.861144115688579e-05,nan,nan,nan,nan
9405,94.062,,94.06200000000345,False,8.361814469275009,-1.1448719949473176e-05,-7.425078328665618e-06,7.859414273108035e-05,nan,nan,nan,nan
9406,94.071,,94.07100000000345,False,8.361814469275043,-1.1446827696539571e-05,-7.423851143684623e-06,7.858117148358415e-05,nan,nan,nan,nan
9407,94.08,,94.08000000000345,False,8.361814469275076,-1.144493810318527e-05,-7.422625615816781e-06,7.85682027677062e-05,nan,nan,nan,nan
9408,94.092,,94.09200000000345,False,8.361814469275076,-1.1442420582958514e-05,-7.4209927971762885e-06,7.855091461195869e-05,nan,nan,nan,nan
9409,94.101,,94.10100000000345,False,8.361814469275062,-1.1440532947088391e-05,-7.419768511089255e-06,7.853795093957024e-05,nan,nan,nan,nan
9410,94.11,,94.11000000000345,False,8.361814469275048,-1.1438647211722591e-05,-7.4185454209917996e-06,7.852498970714216e-05,nan,nan,nan,nan
9411,94.122,,94.12200000000345,False,8.361814469275027,-1.1436133573644231e-05,-7.416915096040913e-06,7.85077114172211e-05,nan,nan,nan,nan
9412,94.131,,94.13100000000345,False,8.361814469275007,-1.14342479432454e-05,-7.415692124155178e-06,7.849475507810667e-05,nan,nan,nan,nan
9413,94.14,,94.14000000000345,False,8.36181446927499,-1.1432363505822194e-05,-7.414469938501698e-06,7.848180113416917e-05,nan,nan,nan,nan
9414,94.152,,94.15200000000345,False,8.361814469274963,-1.142985071774342e-05,-7.412840252284096e-06,7.84645325073467e-05,nan,nan,nan,nan
9415,94.161,,94.16100000000345,False,8.361814469274943,-1.1427965228755438e-05,-7.411617453762265e-06,7.84515833830567e-05,nan,nan,nan,nan
9416,94.17,,94.17000000000345,False,8.361814469274925,-1.1426080671983674e-05,-7.410395264856591e-06,7.843863663168523e-05,nan,nan,nan,nan
9417,94.182,,94.18200000000346,False,8.361814469274902,-1.142356751335411e-05,-7.40876541447555e-06,7.842137756755053e-05,nan,nan,nan,nan
9418,94.191,,94.19100000000346,False,8.361814469274886,-1.1421681733212884e-05,-7.407542473955458e-06,7.840843559893298e-05,nan,nan,nan,nan
9419,94.2,,94.20000000000346,False,8.361814469274869,-1.141979696474997e-05,-7.406320177030518e-06,7.839549599182069e-05,nan,nan,nan,nan
9420,94.212,,94.21200000000346,False,8.361814469274847,-1.1417283774021889e-05,-7.404690332739036e-06,7.83782464392195e-05,nan,nan,nan,nan
9421,94.221,,94.22100000000346,False,8.361814469274835,-1.1415398209880828e-05,-7.403467514451228e-06,7.836531159571592e-05,nan,nan,nan,nan
9422,94.23,,94.23000000000346,False,8.361814469274822,-1.1413513888619372e-05,-7.402245473518615e-06,7.835237910755759e-05,nan,nan,nan,nan
9423,94.242,,94.24200000000346,False,8.361814469274806,-1.1411001611137106e-05,-7.4006161586247345e-06,7.833513903918293e-05,nan,nan,nan,nan
9424,94.251,,94.25100000000346,False,8.361814469274794,-1.140911695922135e-05,-7.399393889719127e-06,7.832221130410946e-05,nan,nan,nan,nan
9425,94.26,,94.26000000000346,False,8.361814469274785,-1.1407233704154215e-05,-7.398172487893541e-06,7.830928592078238e-05,nan,nan,nan,nan
9426,94.272,,94.27200000000346,False,8.361814469274773,-1.140472305139276e-05,-7.396544170384346e-06,7.829205532095873e-05,nan,nan,nan,nan
9427,94.281,,94.28100000000346,False,8.361814469274766,-1.1402839710805318e-05,-7.395322708344745e-06,7.827913468443282e-05,nan,nan,nan,nan
9428,94.29,,94.29000000000346,False,8.361814469274758,-1.1400957815680188e-05,-7.394102158745518e-06,7.826621639732897e-05,nan,nan,nan,nan
9429,94.302,,94.30200000000346,False,8.36181446927475,-1.1398448997702703e-05,-7.392474999871605e-06,7.824899525615643e-05,nan,nan,nan,nan
9430,94.311,,94.31100000000346,False,8.361814469274744,-1.1396567023252237e-05,-7.391254421926295e-06,7.823608171169588e-05,nan,nan,nan,nan
9431,94.32,,94.32000000000346,False,8.361814469274739,-1.1394686456658733e-05,-7.390034728662553e-06,7.822317051497775e-05,nan,nan,nan,nan
9432,94.332,,94.33200000000346,False,8.361814469274732,-1.1392179344899358e-05,-7.388408694950923e-06,7.820595882547754e-05,nan,nan,nan,nan
9433,94.341,,94.34100000000346,False,8.36181446927473,-1.1390298589082285e-05,-7.387188917927428e-06,7.819305236833561e-05,nan,nan,nan,nan
9434,94.35,,94.35000000000346,False,8.361814469274726,-1.1388419189066425e-05,-7.385970006297972e-06,7.81801482575942e-05,nan,nan,nan,nan
9435,94.362,,94.36200000000346,False,8.361814469274723,-1.1385913557297545e-05,-7.3843449663219e-06,7.816294601431529e-05,nan,nan,nan,nan
9436,94.371,,94.37100000000346,False,8.36181446927472,-1.1384033860758254e-05,-7.383125896299608e-06,7.815004664066427e-05,nan,nan,nan,nan
