time,body_rate_x,body_rate_y,body_rate_z
0.009999999776482582,-0.0060908012092113495,0.0003222417726647109,-0.00043421954615041614
0.019999997690320015,-0.0075538004748523235,-0.0004963509854860604,-0.0006238953210413456
0.029999995604157448,-0.018511025235056877,-0.010479898191988468,-0.002171432366594672
0.03999999910593033,-0.04440923407673836,-0.034978508949279785,-0.0058582802303135395
0.05000000447034836,-0.06990533322095871,-0.05917028710246086,-0.009488153271377087
0.06000000983476639,-0.09984076023101807,-0.06966444104909897,-0.011079694144427776
0.07000000029802322,-0.16077634692192078,-0.03489464521408081,-0.007004796992987394
0.07999999076128006,-0.25764814019203186,0.07874726504087448,0.0032268124632537365
0.0899999812245369,-0.36575981974601746,0.28198444843292236,0.015842823311686516
0.09999997168779373,-0.4600183963775635,0.5503896474838257,0.027003567665815353
0.10999996215105057,-0.4825649857521057,0.8368189334869385,0.028231056407094002
0.1199999526143074,-0.3941713571548462,1.1498141288757324,0.013842117972671986
0.12999995052814484,-0.23073767125606537,1.4765231609344482,-0.010958734899759293
0.13999994099140167,-0.03650648146867752,1.7896784543991089,-0.03972505405545235
0.1499999314546585,0.19800686836242676,2.121363639831543,-0.07364661246538162
0.15999992191791534,0.4751416742801666,2.4860823154449463,-0.11283934861421585
0.16999991238117218,0.8183164596557617,2.89108943939209,-0.16027849912643433
0.17999990284442902,1.188069224357605,3.332211494445801,-0.20983245968818665
0.18999989330768585,1.545824408531189,3.7848119735717773,-0.25556468963623047
0.1999998837709427,1.8994419574737549,4.183524131774902,-0.2957022190093994
0.20999987423419952,2.2162535190582275,4.476522445678711,-0.32742419838905334
0.21999986469745636,2.3996450901031494,4.541955471038818,-0.357771098613739
0.2299998551607132,2.3931665420532227,4.290653228759766,-0.3999452292919159
0.23999984562397003,2.204082727432251,3.7934224605560303,-0.45529410243034363
0.24999983608722687,1.8861923217773438,3.1434829235076904,-0.5213332772254944
0.2599998414516449,1.5166683197021484,2.413271427154541,-0.5900222659111023
0.26999983191490173,1.1265722513198853,1.6266826391220093,-0.6585284471511841
0.27999982237815857,0.7344841361045837,0.8334646224975586,-0.7249414920806885
0.2899998128414154,0.3334019184112549,0.05731077864766121,-0.7897161245346069
0.29999980330467224,-0.06236892566084862,-0.6987695097923279,-0.8437784910202026
0.3099997937679291,-0.40954288840293884,-1.3824942111968994,-0.8842746615409851
0.3199997842311859,-0.6360893845558167,-1.8712223768234253,-0.9192471504211426
0.32999977469444275,-0.7778518795967102,-2.1132586002349854,-0.9438924789428711
0.3399997651576996,-0.8446640372276306,-2.221299886703491,-0.9558108448982239
0.3499997556209564,-0.8022594451904297,-2.207674980163574,-0.9664006233215332
0.35999974608421326,-0.726316511631012,-2.0685226917266846,-0.971457302570343
0.3699997365474701,-0.6437203884124756,-1.8314133882522583,-0.9557735323905945
0.37999972701072693,-0.5676607489585876,-1.6580746173858643,-0.9380766749382019
0.38999971747398376,-0.5018296837806702,-1.6077221632003784,-0.9218177199363708
0.3999997079372406,-0.4503266513347626,-1.610030174255371,-0.88719642162323
0.40999969840049744,-0.3991219699382782,-1.6333229541778564,-0.845962643623352
0.4199996888637543,-0.34154212474823,-1.7212153673171997,-0.8056347370147705
0.4299996793270111,-0.3060778081417084,-1.9058948755264282,-0.7647438049316406
0.43999966979026794,-0.2992847263813019,-2.159179449081421,-0.7307226061820984
0.4499996602535248,-0.36153408885002136,-2.4080216884613037,-0.7043095231056213
0.4599996507167816,-0.5208470225334167,-2.562199831008911,-0.6904636025428772
0.46999964118003845,-0.7466678619384766,-2.5194642543792725,-0.6776635050773621
0.4799996316432953,-0.9924547672271729,-2.2484993934631348,-0.658311665058136
0.4899996221065521,-1.1979660987854004,-1.7874245643615723,-0.633895993232727
0.49999961256980896,-1.2849066257476807,-1.1326439380645752,-0.6047825813293457
0.5099996328353882,-1.2536643743515015,-0.3274713456630707,-0.5841967463493347
0.519999623298645,-1.0576457977294922,0.5062487125396729,-0.5768458247184753
0.5299996137619019,-0.3535386919975281,1.2264978885650635,-0.5632538199424744
0.5399996042251587,0.30347782373428345,1.5833654403686523,-0.5321894288063049
0.5499995946884155,1.0027358531951904,1.6409261226654053,-0.4859836995601654
0.5599995851516724,1.7929317951202393,1.4076871871948242,-0.4201960265636444
0.5699995756149292,2.5501956939697266,0.8998737931251526,-0.3578726053237915
0.579999566078186,3.089179039001465,0.20535092055797577,-0.31321945786476135
0.5899995565414429,3.331400156021118,-0.46819350123405457,-0.3000357449054718
0.5999995470046997,3.2519025802612305,-1.1410565376281738,-0.32376179099082947
0.6099995374679565,2.9819047451019287,-1.8222101926803589,-0.37406623363494873
0.6199995279312134,2.5873372554779053,-2.4503984451293945,-0.4338449239730835
0.6299995183944702,2.0827181339263916,-2.9832866191864014,-0.4909953474998474
0.639999508857727,1.5169752836227417,-3.425417900085449,-0.5419408082962036
0.6499994993209839,0.9002520442008972,-3.7413511276245117,-0.5783731341362
0.6599994897842407,0.2616029977798462,-3.9112908840179443,-0.5950503349304199
0.6699994802474976,-0.31248143315315247,-3.938157796859741,-0.5910879969596863
0.6799994707107544,-0.8451631665229797,-3.841338872909546,-0.5687342882156372
0.6899994611740112,-1.3589719533920288,-3.6477670669555664,-0.5316894054412842
0.6999994516372681,-1.8664478063583374,-3.3781704902648926,-0.4829322397708893
0.7099994421005249,-2.360232353210449,-3.062422752380371,-0.4269811511039734
0.7199994325637817,-2.821018695831299,-2.700533390045166,-0.36920076608657837
0.7299994230270386,-3.2022759914398193,-2.3189806938171387,-0.318416029214859
0.7399994134902954,-3.5171351432800293,-1.9470231533050537,-0.2743915021419525
0.7499994039535522,-3.758864641189575,-1.57951819896698,-0.23930521309375763
0.7599993944168091,-3.8944003582000732,-1.239780306816101,-0.2187919169664383
0.7699993848800659,-3.9369654655456543,-0.9131515622138977,-0.21158969402313232
0.7799993753433228,-3.8892626762390137,-0.5984870195388794,-0.2177353799343109
0.7899993658065796,-3.7833759784698486,-0.29829534888267517,-0.2328682392835617
0.7999993562698364,-3.639838218688965,-0.012714367359876633,-0.25411078333854675
0.8099993467330933,-3.477583169937134,0.253778874874115,-0.2787470519542694
