header_seq,header_stamp,header_frame_id,t,is_single_rotor_thrust,collective_thrust,bodyrates_x,bodyrates_y,bodyrates_z,thrusts_0,thrusts_1,thrusts_2,thrusts_3
9609,96.102,,96.10200000000353,False,8.361814469274755,3.9756936216392473e-16,1.3878096517822746e-14,-1.241353906769145e-16,nan,nan,nan,nan
9610,96.111,,96.11100000000353,False,8.361814469274755,4.4396376211148017e-16,9.91473865920055e-15,-1.270751229000651e-16,nan,nan,nan,nan
9611,96.12,,96.12000000000353,False,8.361814469274755,4.764905555308294e-16,5.8958335404337484e-15,-1.3056168924869998e-16,nan,nan,nan,nan
9612,96.132,,96.13200000000353,False,8.361814469274755,5.245469312122037e-16,5.308264345527918e-16,-1.3488561249932842e-16,nan,nan,nan,nan
9613,96.141,,96.14100000000353,False,8.361814469274755,5.515761806060062e-16,-3.453856976460344e-15,-1.375347154831904e-16,nan,nan,nan,nan
9614,96.15,,96.15000000000353,False,8.361814469274755,5.595748610212556e-16,-7.318847462110095e-15,-1.3949819568531042e-16,nan,nan,nan,nan
9615,96.162,,96.16200000000353,False,8.361814469274753,5.672251003268881e-16,-1.219587705462201e-14,-1.4196007072348623e-16,nan,nan,nan,nan
9616,96.171,,96.17100000000353,False,8.361814469274753,5.717870992985339e-16,-1.559906641513782e-14,-1.438192464272689e-16,nan,nan,nan,nan
9617,96.18,,96.18000000000353,False,8.361814469274753,5.75408320321375e-16,-1.875790724861903e-14,-1.456986464720455e-16,nan,nan,nan,nan
9618,96.192,,96.19200000000353,False,8.361814469274753,5.787782121050838e-16,-2.2550424532843222e-14,-1.4823597328440488e-16,nan,nan,nan,nan
9619,96.201,,96.20100000000353,False,8.361814469274753,5.802162738726257e-16,-2.505047157671761e-14,-1.5016256345816733e-16,nan,nan,nan,nan
9620,96.21,,96.21000000000353,False,8.361814469274751,5.807249879866151e-16,-2.7229315110464172e-14,-1.521093779729237e-16,nan,nan,nan,nan
9621,96.222,,96.22200000000353,False,8.361814469274751,5.79965412151236e-16,-2.9593531141855756e-14,-1.5473659074525607e-16,nan,nan,nan,nan
9622,96.231,,96.23100000000353,False,8.361814469274751,5.783238502490732e-16,-3.092955911326814e-14,-1.5673059538899823e-16,nan,nan,nan,nan
9623,96.24,,96.24000000000353,False,8.361814469274751,5.757696960316606e-16,-3.18635056095939e-14,-1.5874482437373438e-16,nan,nan,nan,nan
9624,96.252,,96.25200000000353,False,8.361814469274751,5.70955120747428e-16,-3.243996276611375e-14,-1.614619231060397e-16,nan,nan,nan,nan
9625,96.261,,96.26100000000353,False,8.361814469274751,5.662959988534628e-16,-3.233768496969162e-14,-1.6352334221976156e-16,nan,nan,nan,nan
9626,96.27,,96.27000000000353,False,8.361814469274751,5.6074636502560145e-16,-3.174842475135848e-14,-1.6560498567447732e-16,nan,nan,nan,nan
9627,96.282,,96.28200000000353,False,8.36181446927475,5.519749253207551e-16,-3.015978549156489e-14,-1.6841197036675554e-16,nan,nan,nan,nan
9628,96.291,,96.29100000000354,False,8.36181446927475,5.443780572563928e-16,-2.8331505292383776e-14,-1.7054080395045716e-16,nan,nan,nan,nan
9629,96.3,,96.30000000000354,False,8.36181446927475,5.359088783084053e-16,-2.59275221137493e-14,-1.7268854967644457e-16,nan,nan,nan,nan
9630,96.312,,96.31200000000354,False,8.36181446927475,5.219914132373822e-16,-2.1860770168975812e-14,-1.7555897051944168e-16,nan,nan,nan,nan
9631,96.321,,96.32100000000354,False,8.36181446927475,5.094112261798284e-16,-1.83209105288442e-14,-1.7767039521839685e-16,nan,nan,nan,nan
9632,96.33,,96.33000000000354,False,8.36181446927475,4.960465082757766e-16,-1.4492091394556865e-14,-1.797724876256799e-16,nan,nan,nan,nan
9633,96.342,,96.34200000000354,False,8.361814469274751,4.771268851344721e-16,-9.099887776631237e-15,-1.825941644945439e-16,nan,nan,nan,nan
9634,96.351,,96.35100000000354,False,8.361814469274751,4.598130843605305e-16,-4.997127910413655e-15,-1.8469928253899897e-16,nan,nan,nan,nan
9635,96.36,,96.36000000000354,False,8.361814469274751,4.4013366989709945e-16,-9.59115167098879e-16,-1.8696562839445268e-16,nan,nan,nan,nan
9636,96.372,,96.37200000000354,False,8.361814469274751,4.1443296935503055e-16,4.234150369244307e-15,-1.9001943613618974e-16,nan,nan,nan,nan
9637,96.381,,96.38100000000354,False,8.361814469274751,3.9568989030869374e-16,7.930572494326096e-15,-1.923234329506088e-16,nan,nan,nan,nan
9638,96.39,,96.39000000000354,False,8.361814469274751,3.775145267138763e-16,1.1415769110555497e-14,-1.9439917255653593e-16,nan,nan,nan,nan
9639,96.402,,96.40200000000354,False,8.361814469274751,3.543406430726388e-16,1.5695302329456207e-14,-1.9680925712754788e-16,nan,nan,nan,nan
9640,96.411,,96.41100000000354,False,8.361814469274751,3.3789033036775847e-16,1.8599889983383868e-14,-1.9834864437813864e-16,nan,nan,nan,nan
9641,96.42,,96.42000000000354,False,8.361814469274751,3.223552595313774e-16,2.1217254409807446e-14,-1.996581663335853e-16,nan,nan,nan,nan
9642,96.432,,96.43200000000354,False,8.361814469274751,3.0325275464421495e-16,2.4219499103967227e-14,-2.010466273706232e-16,nan,nan,nan,nan
