header_seq,header_stamp,header_frame_id,t,pose_position_x,pose_position_y,pose_position_z,pose_orientation_x,pose_orientation_y,pose_orientation_z,pose_orientation_w,velocity_linear_x,velocity_linear_y,velocity_linear_z,velocity_angular_x,velocity_angular_y,velocity_angular_z,acceleration_linear_x,acceleration_linear_y,acceleration_linear_z,acceleration_angular_x,acceleration_angular_y,acceleration_angular_z,acc_bias_x,acc_bias_y,acc_bias_z,gyr_bias_x,gyr_bias_y,gyr_bias_z,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z,motors_len,motors
9607,96.081,world,96.08100000000353,-6.3350199579191326e-18,-2.5565868853718858e-18,1.1444785530728532,-2.902353978766822e-17,-3.497638598832862e-16,2.420278702073202e-17,1.0,-2.1385124073472336e-15,-4.6121416705708824e-17,6.200277427577403e-14,-7.264898338523435e-16,4.334216161767889e-14,1.0010383068342568e-16,-7.072000932331008e-15,5.656259194123633e-16,3.2566542055616396e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.097077368891,1215.0970773688935,1215.0970773688932,1215.0970773688912"
9608,96.09,world,96.09000000000353,-2.580721674928567e-17,-2.9478469914579433e-18,1.1444785530728532,-3.1539446136508786e-17,-1.5084653935226723e-16,2.4675175246958346e-17,1.0,-2.1827874366184477e-15,-4.0750144982952076e-17,6.20134324168104e-14,-3.250136331916107e-16,4.4816361215084766e-14,1.0874858581178695e-16,-3.1781503814478947e-15,6.169110376282347e-16,2.9605947323058146e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970773688916,1215.0970773688928,1215.0970773688923,1215.0970773688919"
9609,96.102,world,96.10200000000353,-5.2086603431562066e-17,-3.3915840415220268e-18,1.1444785530728532,-3.286228329482593e-17,1.185741879340404e-16,2.5253127454476105e-17,1.0,-2.186526316656094e-15,-3.315551122879613e-17,6.204392654255346e-14,-1.8457274835561176e-16,4.4407999822027695e-14,9.493791269209824e-17,2.1076745033339366e-15,6.436310998164351e-16,3.552713678804843e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970773688928,1215.0970773688919,1215.0970773688919,1215.0970773688928"
9610,96.111,world,96.11100000000353,-7.161868725070838e-17,-3.663703210311202e-18,1.1444785530728532,-3.3245290065738184e-17,3.146590605200339e-16,2.5743082825001202e-17,1.0,-2.148166900403654e-15,-2.7303833720849113e-17,6.20631704083136e-14,4.953804854121499e-17,4.26290041664235e-14,1.2606479127489583e-16,5.96210042044454e-15,6.522392387658842e-16,1.7763568393961105e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970773688928,1215.0970773688914,1215.0970773688914,1215.0970773688932"
9611,96.12,world,96.12000000000353,-9.065212634168632e-17,-3.8831214648619875e-18,1.1444785530728532,-3.290838154080442e-17,5.010940733265952e-16,2.6324177216440344e-17,1.0,-2.0760005149280233e-15,-2.1466030906176297e-17,6.207915761986816e-14,6.194849571444454e-17,4.014172920614996e-14,1.2570747732467713e-16,9.630759971735096e-15,6.457485028479186e-16,1.7763568393961105e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970773688932,1215.097077368891,1215.097077368891,1215.0970773688932"
9612,96.132,world,96.13200000000353,-1.147455835703345e-16,-4.094385683922721e-18,1.1444785530728532,-3.2670651551923054e-17,7.315621401011767e-16,2.7044831091545078e-17,1.0,-1.9305352572721475e-15,-1.3753997562248501e-17,6.210047390194091e-14,1.7294833912678226e-17,3.6680959718710584e-14,1.1451048104357095e-16,1.4167945450026181e-14,6.408669067300771e-16,1.7763568393961105e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970773688932,1215.097077368891,1215.097077368891,1215.0970773688932"
9613,96.141,world,96.14100000000353,-1.3149650242785421e-16,-4.192298553199628e-18,1.1444785530728532,-3.202459275452533e-17,8.894044412415523e-16,2.7486348255522077e-17,1.0,-1.787246681661208e-15,-8.02317536884724e-18,6.212741531400518e-14,3.0551107330157336e-16,3.337706971639804e-14,7.838288760354641e-17,1.7279789179309933e-14,6.2954300553691315e-16,3.552713678804843e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970773688937,1215.097077368891,1215.0970773688905,1215.0970773688937"
9614,96.15,world,96.15000000000353,-1.4683659256269133e-16,-4.239472352820951e-18,1.1444785530728532,-3.047323723530929e-17,1.030925436253583e-15,2.7813594955875406e-17,1.0,-1.6174984099271432e-15,-2.5057786664327424e-18,6.214665917976531e-14,3.5074051634485915e-16,2.947155704360273e-14,7.000014920146999e-17,2.0074519531882764e-14,5.993962498618449e-16,1.7763568393961105e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.097077368894,1215.0970773688905,1215.0970773688905,1215.097077368894"
9615,96.162,world,96.16200000000353,-1.6471129944181098e-16,-4.227503392754486e-18,1.1444785530728532,-2.836459403513653e-17,1.191403325401306e-15,2.822390746223804e-17,1.0,-1.3553224000575216e-15,4.417798836024841e-18,6.219698929021498e-14,3.4854499605330574e-16,2.3941628703704826e-14,6.848383456613941e-17,2.3249069636738135e-14,5.580304944022763e-16,5.329070518200953e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970773688941,1215.0970773688905,1215.0970773688905,1215.0970773688941"
9616,96.171,world,96.17100000000353,-1.7593556314086677e-16,-4.1656258470349055e-18,1.1444785530728532,-2.6808754096725763e-17,1.289612086513679e-15,2.8533770079535154e-17,1.0,-1.1360691398447083e-15,9.286994379617195e-18,6.224495092487879e-14,3.4293942101814797e-16,1.9706709568460998e-14,6.923288423258078e-17,2.5196022789183214e-14,5.274880087061688e-16,5.329070518200953e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970773688941,1215.0970773688905,1215.0970773688905,1215.0970773688941"
