header_seq,header_stamp,header_frame_id,t,pose_position_x,pose_position_y,pose_position_z,pose_orientation_x,pose_orientation_y,pose_orientation_z,pose_orientation_w,velocity_linear_x,velocity_linear_y,velocity_linear_z,velocity_angular_x,velocity_angular_y,velocity_angular_z,acceleration_linear_x,acceleration_linear_y,acceleration_linear_z,acceleration_angular_x,acceleration_angular_y,acceleration_angular_z,acc_bias_x,acc_bias_y,acc_bias_z,gyr_bias_x,gyr_bias_y,gyr_bias_z,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z,motors_len,motors
36002,360.032999999,world,360.0329999989144,-0.13433877134723027,0.2848637733190919,3.0595083601247004,-1.836335994332177e-10,3.044140916272821e-10,-0.009553387123332781,0.9999543653559757,-3.272593355250548e-07,-1.9302387133532486e-07,-9.43563602433254e-12,9.337903233429243e-11,-1.4682653794038458e-10,-2.9993029870375652e-06,6.005321659039655e-09,3.5448364836992865e-09,1.1368683772215887e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.097076364633,1215.0970762142306,1215.0970781319552,1215.0970787647777"
36003,360.041999999,world,360.0419999989144,-0.13433877429232127,0.2848637715820205,3.0595083601246165,-1.832521483637473e-10,3.038013342593648e-10,-0.009553400618453577,0.9999543652270455,-3.2720535773615625e-07,-1.9299201053947393e-07,-9.43459182257045e-12,4.887624629574115e-11,-7.705604368997699e-11,-2.998790689520697e-06,5.992942164148256e-09,3.537292515674096e-09,1.1753561087336125e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970761019971,1215.0970760494151,1215.097078552076,1215.097078772109"
36004,360.050999999,world,360.05099999891434,-0.1343387772369268,0.28486376984523565,3.0595083601245325,-1.834490304623528e-10,3.0411505318764446e-10,-0.00955341411111619,0.9999543650981387,-3.271514235073276e-07,-1.9296017616934516e-07,-9.433521863634184e-12,-1.5735103638173156e-10,2.4656394876417256e-10,-2.9982134820802707e-06,5.997564307056728e-09,3.54013759282953e-09,1.2108832455288554e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970759075128,1215.0970759222155,1215.0970788538098,1215.09707879206"
36005,360.062999999,world,360.0629999989143,-0.13433878116231163,0.28486376752996867,3.0595083601244206,-1.835325337083794e-10,3.0424667252746004e-10,-0.009553432097940266,0.9999543649262952,-3.270793751257225e-07,-1.929176469378744e-07,-9.432031204186454e-12,9.332840478241914e-11,-1.4674386939475239e-10,-2.9976533728443554e-06,6.002019039461828e-09,3.5428852369761816e-09,1.255292166506753e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970763651858,1215.0970762148672,1215.0970781315368,1215.09707876401"
36006,360.071999999,world,360.07199999891424,-0.13433878410578312,0.2848637657938532,3.0595083601243367,-1.8315128987886771e-10,3.036342638253334e-10,-0.009553445585638747,0.9999543647974354,-3.270254270208198e-07,-1.9288580368003254e-07,-9.430877460419263e-12,4.884970157746844e-11,-7.701047251026059e-11,-2.997141357138529e-06,5.989646574573314e-09,3.5353453646464586e-09,1.3085828716834614e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970761026945,1215.097076050142,1215.0970785514266,1215.0970787713375"
36007,360.080999999,world,360.0809999989142,-0.13433878704876945,0.2848637640580241,3.0595083601242528,-1.8334806225236564e-10,3.0394782611578936e-10,-0.009553459070880402,0.9999543646685988,-3.269715224495574e-07,-1.9285398683372946e-07,-9.429677235314778e-12,-1.5726424121509833e-10,2.4643212997938425e-10,-2.9965644671980712e-06,5.994266484014723e-09,3.538188845277136e-09,1.352991792677515e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970759083175,1215.0970759230122,1215.0970788529937,1215.097078791278"
36008,360.092999999,world,360.09299999891414,-0.13433879097199566,0.2848637617440313,3.059508360124141,-1.8343151764099404e-10,3.040793961111358e-10,-0.009553477047811735,0.999954364496849,-3.2689951368157885e-07,-1.9281148101366427e-07,-9.428030848584126e-12,9.327738908348453e-11,-1.466594423241014e-10,-2.996004666091126e-06,5.9987192182691006e-09,3.540934936124181e-09,1.4003613083883496e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.097076365739,1215.0970762155025,1215.0970781311178,1215.0970787632436"
36009,360.101999999,world,360.1019999989141,-0.13433879391384854,0.28486376000887126,3.059508360124057,-1.830504812964409e-10,3.0346733881851206e-10,-0.00955349052809199,0.9999543643680594,-3.268455952350165e-07,-1.9277965528523287e-07,-9.42674743076766e-12,4.8823552523858504e-11,-7.696540257617139e-11,-2.9954929320287705e-06,5.986353848340311e-09,3.533399167219101e-09,1.4566126083141507e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970761033923,1215.097076050868,1215.0970785507764,1215.0970787705676"
36010,360.110999999,world,360.11099999891405,-0.1343387968552165,0.2848637582739974,3.059508360123973,-1.8324714165098575e-10,3.037807388970546e-10,-0.009553504005916764,0.9999543642392933,-3.267917202959839e-07,-1.9274785595438064e-07,-9.425413682840744e-12,-1.5717686924820587e-10,2.46298538296959e-10,-2.9949163594276234e-06,5.990971421029576e-09,3.53624100831163e-09,1.4921397450932377e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.097075909122,1215.0970759238085,1215.0970788521781,1215.0970787904967"
36011,360.122999999,world,360.122999998914,-0.13433880077628538,0.284863755961278,3.059508360123861,-1.833305441601728e-10,3.0391224671088926e-10,-0.009553521972960789,0.9999543640676369,-3.267197511100521e-07,-1.92705373535323e-07,-9.42358758800984e-12,9.322767208792976e-11,-1.4657736129617985e-10,-2.994356866269319e-06,5.99542190747027e-09,3.5389854531354304e-09,1.5602334239346306e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"1215.0970763662917,1215.097076216138,1215.0970781306992,1215.097078762478"
